PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
PT01;PARTY;7;GP1001;CONSTITUTIVE;
PT02;PARTY;2;GP1001;CONSTITUTIVE;
PT03;PARTY;12;GP1002;CONSTITUTIVE;
PT04;PARTY;2;GP1005;CONSTITUTIVE;
PT05;PARTY;1;GP1005;CONSTITUTIVE;
