GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1001;49;6.69;CONSTITUTIVE;
GP1002;23;3.14;CONSTITUTIVE;
GP1003;7;0.96;CONSTITUTIVE;
GP1004;13;1.78;CONSTITUTIVE;
GP1005;7;0.96;CONSTITUTIVE;
GP1006;0;0.0;CONSTITUTIVE;
GP1007;0;0.0;CONSTITUTIVE;
NA;0;0.0;CONSTITUTIVE;
