GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1001;24;3.28;CONSTITUTIVE;
GP1002;16;2.19;CONSTITUTIVE;
GP1003;12;1.64;CONSTITUTIVE;
GP1004;2;0.27;CONSTITUTIVE;
GP1005;7;0.96;CONSTITUTIVE;
GP1006;9;1.23;CONSTITUTIVE;
GP1007;4;0.55;CONSTITUTIVE;
NA;4;0.55;CONSTITUTIVE;
