PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
IT01;PARTY;16;GP1001;CONSTITUTIVE;
IT02;PARTY;5;GP1001;CONSTITUTIVE;
IT03;PARTY;1;GP1001;CONSTITUTIVE;
IT04;PARTY;1;GP1001;CONSTITUTIVE;
IT05;PARTY;1;GP1001;CONSTITUTIVE;
IT06;PARTY;12;GP1002;CONSTITUTIVE;
IT07;PARTY;2;GP1002;CONSTITUTIVE;
IT08;PARTY;2;GP1002;CONSTITUTIVE;
IT09;PARTY;7;GP1003;CONSTITUTIVE;
IT10;PARTY;2;GP1003;CONSTITUTIVE;
IT11;PARTY;2;GP1003;CONSTITUTIVE;
IT12;PARTY;1;GP1003;CONSTITUTIVE;
IT13;PARTY;2;GP1004;CONSTITUTIVE;
IT14;PARTY;5;GP1005;CONSTITUTIVE;
IT15;PARTY;2;GP1005;CONSTITUTIVE;
IT16;PARTY;9;GP1006;CONSTITUTIVE;
IT17;PARTY;4;GP1007;CONSTITUTIVE;
IT18;PARTY;1;NA;CONSTITUTIVE;
IT19;PARTY;1;NA;CONSTITUTIVE;
IT20;PARTY;1;NA;CONSTITUTIVE;
IT21;PARTY;1;NA;CONSTITUTIVE;
