GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1001;7;0.96;CONSTITUTIVE;
GP1002;7;0.96;CONSTITUTIVE;
GP1003;5;0.68;CONSTITUTIVE;
GP1004;4;0.55;CONSTITUTIVE;
GP1005;2;0.27;CONSTITUTIVE;
GP1006;0;0.0;CONSTITUTIVE;
GP1007;2;0.27;CONSTITUTIVE;
NA;0;0.0;CONSTITUTIVE;
