GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1001;24;3.28;CONSTITUTIVE;
GP1002;24;3.28;CONSTITUTIVE;
GP1003;2;0.27;CONSTITUTIVE;
GP1004;3;0.41;CONSTITUTIVE;
GP1005;1;0.14;CONSTITUTIVE;
GP1006;0;0.0;CONSTITUTIVE;
GP1007;0;0.0;CONSTITUTIVE;
NA;0;0.0;CONSTITUTIVE;
