PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
LU01;PARTY;2;GP0901;OUTGOING;
LU02;PARTY;2;GP0902;OUTGOING;
LU03;PARTY;1;GP0903;OUTGOING;
LU04;PARTY;1;GP0904;OUTGOING;
