PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK03;PARTY;28;GP0902;OUTGOING;
UK05;PARTY;11;GP0903;OUTGOING;
UK01;PARTY;36;GP0901;OUTGOING;
UK09;PARTY;3;GP0907;OUTGOING;
UK07;PARTY;2;GP0904;OUTGOING;
UK08;PARTY;2;GP0904;OUTGOING;
UK06;PARTY;2;GP0904;OUTGOING;
