PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
HU01;PARTY;16.05;OFFICIAL;
HU02;PARTY;52.56;OFFICIAL;
HU03;PARTY;6.34;OFFICIAL;
HU04;PARTY;2.18;OFFICIAL;
HU05;PARTY;2.62;OFFICIAL;
HU06;PARTY;9.93;OFFICIAL;
HU07;PARTY;6.61;OFFICIAL;
HU08;PARTY;3.29;OFFICIAL;
HU90;PARTY;0.42;OFFICIAL;
