PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
FI01;PARTY;24.8;OFFICIAL;2024-07-16 09:44
FI02;PARTY;11.3;OFFICIAL;2024-07-16 09:44
FI03;PARTY;14.9;OFFICIAL;2024-07-16 09:44
FI04;PARTY;7.6;OFFICIAL;2024-07-16 09:44
FI05;PARTY;11.8;OFFICIAL;2024-07-16 09:44
FI06;PARTY;17.3;OFFICIAL;2024-07-16 09:44
FI07;PARTY;6.1;OFFICIAL;2024-07-16 09:44
FI08;PARTY;4.6;OFFICIAL;2024-07-16 09:44
FI90;PARTY;1.6;OFFICIAL;2024-07-16 09:44
EL01;PARTY;28.31;OFFICIAL;2024-07-16 09:44
EL02;PARTY;14.92;OFFICIAL;2024-07-16 09:44
EL03;PARTY;12.79;OFFICIAL;2024-07-16 09:44
EL04;PARTY;9.25;OFFICIAL;2024-07-16 09:44
EL05;PARTY;9.3;OFFICIAL;2024-07-16 09:44
EL06;PARTY;2.54;OFFICIAL;2024-07-16 09:44
EL07;PARTY;3.4;OFFICIAL;2024-07-16 09:44
EL08;PARTY;4.37;OFFICIAL;2024-07-16 09:44
EL09;PARTY;2.45;OFFICIAL;2024-07-16 09:44
EL10;PARTY;1.45;OFFICIAL;2024-07-16 09:44
EL11;PARTY;3.04;OFFICIAL;2024-07-16 09:44
EL12;PARTY;1.08;OFFICIAL;2024-07-16 09:44
EL90;PARTY;7.1;OFFICIAL;2024-07-16 09:44
ES01;COALITION;30.19;FINAL;2024-07-16 12:32
ES02;PARTY;34.21;FINAL;2024-07-16 12:32
ES03;COALITION;4.67;FINAL;2024-07-16 12:32
ES04;PARTY;3.3;FINAL;2024-07-16 12:32
ES05;PARTY;9.63;FINAL;2024-07-16 12:32
ES06;PARTY;2.52;FINAL;2024-07-16 12:32
ES07;COALITION;4.91;FINAL;2024-07-16 12:32
ES08;COALITION;1.63;FINAL;2024-07-16 12:32
ES11;PARTY;4.58;FINAL;2024-07-16 12:32
ES90;PARTY;4.36;FINAL;2024-07-16 12:32
LU01;PARTY;18.29;OFFICIAL;2024-07-16 09:44
LU02;PARTY;22.92;OFFICIAL;2024-07-16 09:44
LU03;PARTY;11.76;OFFICIAL;2024-07-16 09:44
LU04;PARTY;21.72;OFFICIAL;2024-07-16 09:44
LU05;PARTY;11.77;OFFICIAL;2024-07-16 09:44
LU06;PARTY;4.92;OFFICIAL;2024-07-16 09:44
LU07;PARTY;3.15;OFFICIAL;2024-07-16 09:44
LU08;PARTY;0.97;OFFICIAL;2024-07-16 09:44
LU09;PARTY;1.04;OFFICIAL;2024-07-16 09:44
LU10;PARTY;1.58;OFFICIAL;2024-07-16 09:44
LU11;PARTY;0.58;OFFICIAL;2024-07-16 09:44
LU90;PARTY;1.3;OFFICIAL;2024-07-16 09:44
PT01;PARTY;32.75;OFFICIAL;2024-07-16 13:26
PT02;COALITION;31.74;OFFICIAL;2024-07-16 13:26
PT03;PARTY;4.34;OFFICIAL;2024-07-16 13:26
PT04;COALITION;4.2;OFFICIAL;2024-07-16 13:26
PT05;PARTY;1.24;OFFICIAL;2024-07-16 13:26
PT06;PARTY;3.83;OFFICIAL;2024-07-16 13:26
PT07;PARTY;9.26;OFFICIAL;2024-07-16 13:26
PT08;PARTY;9.99;OFFICIAL;2024-07-16 13:26
PT90;PARTY;2.65;OFFICIAL;2024-07-16 13:26
AT01;PARTY;24.52;OFFICIAL;2024-07-08 12:51
AT02;PARTY;23.22;OFFICIAL;2024-07-08 12:51
AT03;PARTY;25.36;OFFICIAL;2024-07-08 12:51
AT04;PARTY;11.08;OFFICIAL;2024-07-08 12:51
AT05;PARTY;10.14;OFFICIAL;2024-07-08 12:51
AT06;PARTY;2.96;OFFICIAL;2024-07-08 12:51
AT90;PARTY;2.72;OFFICIAL;2024-07-08 12:51
CY01;PARTY;24.78;OFFICIAL;2024-07-15 17:47
CY02;PARTY;21.49;OFFICIAL;2024-07-15 17:47
CY03;PARTY;9.72;OFFICIAL;2024-07-15 17:47
CY04;PARTY;5.07;OFFICIAL;2024-07-15 17:47
CY05;PARTY;11.19;OFFICIAL;2024-07-15 17:47
CY10;PARTY;19.36;OFFICIAL;2024-07-15 17:47
CY90;PARTY;8.39;OFFICIAL;2024-07-15 17:47
LT01;PARTY;21.33;OFFICIAL;2024-07-15 17:47
LT02;PARTY;17.98;OFFICIAL;2024-07-15 17:47
LT03;PARTY;9.13;OFFICIAL;2024-07-15 17:47
LT04;PARTY;1.66;OFFICIAL;2024-07-15 17:47
LT05;PARTY;5.41;OFFICIAL;2024-07-15 17:47
LT06;PARTY;5.78;OFFICIAL;2024-07-15 17:47
LT07;PARTY;8.09;OFFICIAL;2024-07-15 17:47
LT08;PARTY;5.25;OFFICIAL;2024-07-15 17:47
LT09;PARTY;5.95;OFFICIAL;2024-07-15 17:47
LT10;PARTY;3.79;OFFICIAL;2024-07-15 17:47
LT11;PARTY;1.25;OFFICIAL;2024-07-15 17:47
LT12;PARTY;5.45;OFFICIAL;2024-07-15 17:47
LT13;PARTY;4.05;OFFICIAL;2024-07-15 17:47
LT90;PARTY;4.88;OFFICIAL;2024-07-15 17:47
HR01;PARTY;34.6;OFFICIAL;2024-07-16 12:32
HR02;COALITION;25.96;OFFICIAL;2024-07-16 12:32
HR03;PARTY;5.61;OFFICIAL;2024-07-16 12:32
HR05;PARTY;8.82;OFFICIAL;2024-07-16 12:32
HR06;PARTY;5.92;OFFICIAL;2024-07-16 12:32
HR90;PARTY;19.09;OFFICIAL;2024-07-16 12:32
FR01;PARTY;31.37;OFFICIAL;2024-07-16 12:32
FR02;COALITION;14.6;OFFICIAL;2024-07-16 12:32
FR03;PARTY;5.5;OFFICIAL;2024-07-16 12:32
FR04;PARTY;7.25;OFFICIAL;2024-07-16 12:32
FR05;PARTY;9.89;OFFICIAL;2024-07-16 12:32
FR06;COALITION;13.83;OFFICIAL;2024-07-16 12:32
FR07;PARTY;2.36;OFFICIAL;2024-07-16 12:32
FR08;COALITION;5.47;OFFICIAL;2024-07-16 12:32
FR09;PARTY;2.35;OFFICIAL;2024-07-16 12:32
FR10;PARTY;2.0;OFFICIAL;2024-07-16 12:32
FR11;PARTY;1.02;OFFICIAL;2024-07-16 12:32
FR12;PARTY;0.93;OFFICIAL;2024-07-16 12:32
FR13;PARTY;0.15;OFFICIAL;2024-07-16 12:32
FR90;PARTY;3.28;OFFICIAL;2024-07-16 12:32
IE01;PARTY;20.79;FINAL;2024-07-16 12:32
IE02;PARTY;20.44;FINAL;2024-07-16 12:32
IE03;PARTY;13.97;FINAL;2024-07-16 12:32
IE04;PARTY;11.14;FINAL;2024-07-16 12:32
IE05;PARTY;5.36;FINAL;2024-07-16 12:32
IE06;PARTY;3.38;FINAL;2024-07-16 12:32
IE07;PARTY;1.82;FINAL;2024-07-16 12:32
IE08;PARTY;2.95;FINAL;2024-07-16 12:32
IE09;PARTY;3.76;FINAL;2024-07-16 12:32
IE12;PARTY;4.58;FINAL;2024-07-16 12:32
IE13;COALITION;6.23;FINAL;2024-07-16 12:32
IE90;PARTY;5.58;FINAL;2024-07-16 12:32
LV01;PARTY;25.09;OFFICIAL;2024-07-16 12:32
LV02;PARTY;7.13;OFFICIAL;2024-07-16 12:32
LV03;COALITION;22.07;OFFICIAL;2024-07-16 12:32
LV05;PARTY;9.36;OFFICIAL;2024-07-16 12:32
LV06;PARTY;2.28;OFFICIAL;2024-07-16 12:32
LV07;PARTY;8.18;OFFICIAL;2024-07-16 12:32
LV08;PARTY;1.5;OFFICIAL;2024-07-16 12:32
LV09;PARTY;7.45;OFFICIAL;2024-07-16 12:32
LV10;PARTY;6.16;OFFICIAL;2024-07-16 12:32
LV11;PARTY;1.98;OFFICIAL;2024-07-16 12:32
LV12;PARTY;2.62;OFFICIAL;2024-07-16 12:32
LV13;PARTY;2.13;OFFICIAL;2024-07-16 12:32
LV14;PARTY;1.72;OFFICIAL;2024-07-16 12:32
LV90;PARTY;2.33;OFFICIAL;2024-07-16 12:32
BE08;PARTY;20.52;OFFICIAL;2024-07-16 09:44
BE09;PARTY;10.06;OFFICIAL;2024-07-16 09:44
BE10;PARTY;34.88;OFFICIAL;2024-07-16 09:44
BE11;PARTY;14.28;OFFICIAL;2024-07-16 09:44
BE12;PARTY;2.91;OFFICIAL;2024-07-16 09:44
BE13;PARTY;15.38;OFFICIAL;2024-07-16 09:44
BE91;PARTY;1.97;OFFICIAL;2024-07-16 09:44
DE01;COALITION;30.0;OFFICIAL;2024-07-16 13:26
DE02;PARTY;13.9;OFFICIAL;2024-07-16 13:26
DE03;PARTY;11.9;OFFICIAL;2024-07-16 13:26
DE04;PARTY;15.9;OFFICIAL;2024-07-16 13:26
DE05;COALITION;2.7;OFFICIAL;2024-07-16 13:26
DE06;PARTY;5.2;OFFICIAL;2024-07-16 13:26
DE07;PARTY;2.7;OFFICIAL;2024-07-16 13:26
DE08;PARTY;1.4;OFFICIAL;2024-07-16 13:26
DE09;PARTY;6.2;OFFICIAL;2024-07-16 13:26
DE10;PARTY;0.5;OFFICIAL;2024-07-16 13:26
DE11;PARTY;0.6;OFFICIAL;2024-07-16 13:26
DE12;PARTY;0.6;OFFICIAL;2024-07-16 13:26
DE13;PARTY;1.9;OFFICIAL;2024-07-16 13:26
DE14;PARTY;2.6;OFFICIAL;2024-07-16 13:26
DE16;PARTY;0.6;OFFICIAL;2024-07-16 13:26
DE90;PARTY;3.3;OFFICIAL;2024-07-16 13:26
DK01;PARTY;14.72;OFFICIAL;2024-07-15 17:47
DK02;PARTY;15.57;OFFICIAL;2024-07-15 17:47
DK03;PARTY;17.42;OFFICIAL;2024-07-15 17:47
DK04;PARTY;6.37;OFFICIAL;2024-07-15 17:47
DK05;PARTY;7.08;OFFICIAL;2024-07-15 17:47
DK06;PARTY;8.84;OFFICIAL;2024-07-15 17:47
DK07;PARTY;7.04;OFFICIAL;2024-07-15 17:47
DK08;PARTY;2.66;OFFICIAL;2024-07-15 17:47
DK09;PARTY;6.95;OFFICIAL;2024-07-15 17:47
DK10;PARTY;5.95;OFFICIAL;2024-07-15 17:47
DK11;PARTY;7.39;OFFICIAL;2024-07-15 17:47
DK90;PARTY;0.0;OFFICIAL;2024-07-15 17:47
IT01;PARTY;8.97;FINAL;2024-07-16 12:32
IT02;PARTY;24.11;FINAL;2024-07-16 12:32
IT03;PARTY;9.98;FINAL;2024-07-16 12:32
IT04;COALITION;9.58;FINAL;2024-07-16 12:32
IT05;PARTY;28.75;FINAL;2024-07-16 12:32
IT06;COALITION;6.79;FINAL;2024-07-16 12:32
IT07;PARTY;3.36;FINAL;2024-07-16 12:32
IT08;PARTY;0.52;FINAL;2024-07-16 12:32
IT09;PARTY;0.15;FINAL;2024-07-16 12:32
IT10;PARTY;2.21;FINAL;2024-07-16 12:32
IT11;PARTY;3.78;FINAL;2024-07-16 12:32
IT12;PARTY;1.22;FINAL;2024-07-16 12:32
IT90;PARTY;0.58;FINAL;2024-07-16 12:32
BE01;PARTY;13.97;OFFICIAL;2024-07-16 09:44
BE02;PARTY;14.5;OFFICIAL;2024-07-16 09:44
BE03;PARTY;5.76;OFFICIAL;2024-07-16 09:44
BE04;PARTY;8.34;OFFICIAL;2024-07-16 09:44
BE05;PARTY;6.32;OFFICIAL;2024-07-16 09:44
BE06;PARTY;7.99;OFFICIAL;2024-07-16 09:44
BE07;PARTY;5.13;OFFICIAL;2024-07-16 09:44
BE08;PARTY;7.43;OFFICIAL;2024-07-16 09:44
BE09;PARTY;3.64;OFFICIAL;2024-07-16 09:44
BE10;PARTY;12.62;OFFICIAL;2024-07-16 09:44
BE11;PARTY;5.17;OFFICIAL;2024-07-16 09:44
BE12;PARTY;1.05;OFFICIAL;2024-07-16 09:44
BE13;PARTY;5.57;OFFICIAL;2024-07-16 09:44
BE14;PARTY;0.21;OFFICIAL;2024-07-16 09:44
BE15;PARTY;0.07;OFFICIAL;2024-07-16 09:44
BE16;PARTY;0.08;OFFICIAL;2024-07-16 09:44
BE17;PARTY;0.1;OFFICIAL;2024-07-16 09:44
BE18;PARTY;0.07;OFFICIAL;2024-07-16 09:44
BE90;PARTY;1.2;OFFICIAL;2024-07-16 09:44
BE91;PARTY;0.71;OFFICIAL;2024-07-16 09:44
BE92;PARTY;0.07;OFFICIAL;2024-07-16 09:44
CZ01;PARTY;26.14;OFFICIAL;2024-07-16 12:32
CZ02;PARTY;6.2;OFFICIAL;2024-07-16 12:32
CZ03;COALITION;8.7;OFFICIAL;2024-07-16 12:32
CZ04;COALITION;9.56;OFFICIAL;2024-07-16 12:32
CZ05;PARTY;1.86;OFFICIAL;2024-07-16 12:32
CZ06;PARTY;1.76;OFFICIAL;2024-07-16 12:32
CZ07;COALITION;22.27;OFFICIAL;2024-07-16 12:32
CZ08;PARTY;1.55;OFFICIAL;2024-07-16 12:32
CZ09;COALITION;10.26;OFFICIAL;2024-07-16 12:32
CZ10;COALITION;5.73;OFFICIAL;2024-07-16 12:32
CZ11;PARTY;2.15;OFFICIAL;2024-07-16 12:32
CZ90;PARTY;3.82;OFFICIAL;2024-07-16 12:32
HU01;COALITION;44.82;FINAL;2024-07-16 13:26
HU02;PARTY;3.7;FINAL;2024-07-16 13:26
HU03;PARTY;0.99;FINAL;2024-07-16 13:26
HU04;PARTY;6.71;FINAL;2024-07-16 13:26
HU05;PARTY;3.59;FINAL;2024-07-16 13:26
HU06;PARTY;0.87;FINAL;2024-07-16 13:26
HU07;PARTY;0.64;FINAL;2024-07-16 13:26
HU08;PARTY;29.6;FINAL;2024-07-16 13:26
HU09;COALITION;8.03;FINAL;2024-07-16 13:26
HU10;PARTY;0.68;FINAL;2024-07-16 13:26
HU11;PARTY;0.37;FINAL;2024-07-16 13:26
HU90;PARTY;0.0;FINAL;2024-07-16 13:26
MT01;PARTY;45.26;FINAL;2024-07-15 18:33
MT02;PARTY;42.02;FINAL;2024-07-15 18:33
MT90;PARTY;12.72;FINAL;2024-07-15 18:33
RO01;COALITION;48.55;OFFICIAL;2024-07-16 13:26
RO03;PARTY;6.48;OFFICIAL;2024-07-16 13:26
RO04;COALITION;14.93;OFFICIAL;2024-07-16 13:26
RO06;PARTY;5.03;OFFICIAL;2024-07-16 13:26
RO07;COALITION;8.71;OFFICIAL;2024-07-16 13:26
RO08;PARTY;3.08;OFFICIAL;2024-07-16 13:26
RO90;PARTY;13.22;OFFICIAL;2024-07-16 13:26
PL01;COALITION;36.16;OFFICIAL;2024-07-16 12:32
PL02;COALITION;37.06;OFFICIAL;2024-07-16 12:32
PL03;COALITION;6.3;OFFICIAL;2024-07-16 12:32
PL04;COALITION;12.08;OFFICIAL;2024-07-16 12:32
PL05;COALITION;6.91;OFFICIAL;2024-07-16 12:32
PL06;PARTY;0.93;OFFICIAL;2024-07-16 12:32
PL90;PARTY;0.56;OFFICIAL;2024-07-16 12:32
BG01;COALITION;23.55;OFFICIAL;2024-07-16 12:32
BG02;PARTY;7.01;OFFICIAL;2024-07-16 12:32
BG03;PARTY;14.66;OFFICIAL;2024-07-16 12:32
BG04;COALITION;14.45;OFFICIAL;2024-07-16 12:32
BG05;PARTY;13.98;OFFICIAL;2024-07-16 12:32
BG06;PARTY;6.04;OFFICIAL;2024-07-16 12:32
BG90;PARTY;20.31;OFFICIAL;2024-07-16 12:32
SI01;PARTY;30.59;OFFICIAL;2024-07-16 09:44
SI02;PARTY;7.21;OFFICIAL;2024-07-16 09:44
SI03;PARTY;7.76;OFFICIAL;2024-07-16 09:44
SI04;PARTY;7.68;OFFICIAL;2024-07-16 09:44
SI05;PARTY;4.81;OFFICIAL;2024-07-16 09:44
SI06;PARTY;22.11;OFFICIAL;2024-07-16 09:44
SI07;PARTY;10.53;OFFICIAL;2024-07-16 09:44
SI08;PARTY;3.97;OFFICIAL;2024-07-16 09:44
SI09;PARTY;2.22;OFFICIAL;2024-07-16 09:44
SI10;PARTY;1.61;OFFICIAL;2024-07-16 09:44
SI90;PARTY;1.52;OFFICIAL;2024-07-16 09:44
BE01;PARTY;22.09;OFFICIAL;2024-07-16 09:44
BE02;PARTY;22.94;OFFICIAL;2024-07-16 09:44
BE03;PARTY;9.11;OFFICIAL;2024-07-16 09:44
BE04;PARTY;13.2;OFFICIAL;2024-07-16 09:44
BE05;PARTY;10.0;OFFICIAL;2024-07-16 09:44
BE06;PARTY;12.64;OFFICIAL;2024-07-16 09:44
BE07;PARTY;8.12;OFFICIAL;2024-07-16 09:44
BE90;PARTY;1.9;OFFICIAL;2024-07-16 09:44
EE01;PARTY;17.9;OFFICIAL;2024-07-16 12:32
EE02;PARTY;19.3;OFFICIAL;2024-07-16 12:32
EE03;PARTY;12.4;OFFICIAL;2024-07-16 12:32
EE04;COALITION;14.8;OFFICIAL;2024-07-16 12:32
EE05;PARTY;21.5;OFFICIAL;2024-07-16 12:32
EE06;PARTY;2.6;OFFICIAL;2024-07-16 12:32
EE07;PARTY;0.6;OFFICIAL;2024-07-16 12:32
EE08;PARTY;6.8;OFFICIAL;2024-07-16 12:32
EE09;PARTY;3.1;OFFICIAL;2024-07-16 12:32
EE90;PARTY;1.0;OFFICIAL;2024-07-16 12:32
SE01;PARTY;24.77;OFFICIAL;2024-07-16 09:44
SE02;PARTY;17.53;OFFICIAL;2024-07-16 09:44
SE03;PARTY;13.17;OFFICIAL;2024-07-16 09:44
SE04;PARTY;13.85;OFFICIAL;2024-07-16 09:44
SE05;PARTY;7.29;OFFICIAL;2024-07-16 09:44
SE06;PARTY;5.71;OFFICIAL;2024-07-16 09:44
SE07;PARTY;11.06;OFFICIAL;2024-07-16 09:44
SE08;PARTY;4.38;OFFICIAL;2024-07-16 09:44
SE90;PARTY;2.24;OFFICIAL;2024-07-16 09:44
NL01;COALITION;21.09;FINAL;2024-07-16 12:32
NL02;PARTY;11.35;FINAL;2024-07-16 12:32
NL03;PARTY;9.45;FINAL;2024-07-16 12:32
NL04;PARTY;2.49;FINAL;2024-07-16 12:32
NL05;PARTY;8.4;FINAL;2024-07-16 12:32
NL06;PARTY;2.89;FINAL;2024-07-16 12:32
NL07;PARTY;3.66;FINAL;2024-07-16 12:32
NL08;PARTY;4.52;FINAL;2024-07-16 12:32
NL09;PARTY;16.97;FINAL;2024-07-16 12:32
NL10;PARTY;2.2;FINAL;2024-07-16 12:32
NL11;PARTY;5.13;FINAL;2024-07-16 12:32
NL12;PARTY;0.65;FINAL;2024-07-16 12:32
NL13;PARTY;3.75;FINAL;2024-07-16 12:32
NL14;PARTY;5.41;FINAL;2024-07-16 12:32
NL90;PARTY;2.04;FINAL;2024-07-16 12:32
BE14;PARTY;34.93;OFFICIAL;2024-07-16 09:44
BE15;PARTY;11.82;OFFICIAL;2024-07-16 09:44
BE16;PARTY;13.57;OFFICIAL;2024-07-16 09:44
BE17;PARTY;16.43;OFFICIAL;2024-07-16 09:44
BE18;PARTY;11.1;OFFICIAL;2024-07-16 09:44
BE92;PARTY;12.15;OFFICIAL;2024-07-16 09:44
SK01;PARTY;24.76;OFFICIAL;2024-07-16 12:32
SK02;PARTY;0.48;OFFICIAL;2024-07-16 12:32
SK03;PARTY;4.92;OFFICIAL;2024-07-16 12:32
SK04;COALITION;27.81;OFFICIAL;2024-07-16 12:32
SK05;PARTY;1.9;OFFICIAL;2024-07-16 12:32
SK06;PARTY;7.14;OFFICIAL;2024-07-16 12:32
SK07;PARTY;3.88;OFFICIAL;2024-07-16 12:32
SK08;PARTY;7.18;OFFICIAL;2024-07-16 12:32
SK09;PARTY;12.53;OFFICIAL;2024-07-16 12:32
SK10;PARTY;4.68;OFFICIAL;2024-07-16 12:32
SK11;PARTY;1.98;OFFICIAL;2024-07-16 12:32
SK12;PARTY;0.93;OFFICIAL;2024-07-16 12:32
SK90;PARTY;1.81;OFFICIAL;2024-07-16 12:32
