COUNTRY_CODE;COUNTRY_NAME;YEAR;TEMPERATURE
AT;Austria;2024;43.29942308539218
BE;Belgium;2024;15.776765355948989
BG;Bulgaria;2024;64.01550182763025
CY;Cyprus;2024;37.68881842603603
CZ;Czechia;2024;58.15827718324746
DE;Germany;2024;11.538292156603694
DK;Denmark;2024;33.00847546330359
EE;Estonia;2024;61.83115338882284
ES;Spain;2024;72.19359668824592
FI;Finland;2024;0.0
FR;France;2024;69.83309111727661
HR;Croatia;2024;56.98683225437091
HU;Hungary;2024;82.45474963667591
IE;Ireland;2024;23.428898577531164
IT;Italy;2024;77.76456599286564
LT;Lithuania;2024;40.925705729510724
LU;Luxembourg;2024;11.080283612982788
LV;Latvia;2024;56.453956929581196
MT;Malta;2024;19.82648522482055
NL;Netherlands;2024;68.94790152816313
PL;Poland;2024;100.0
PT;Portugal;2024;21.011141938609246
RO;Romania;2024;44.77033513894395
SE;Sweden;2024;6.495794248469643
SI;Slovenia;2024;31.883520592319158
SK;Slovakia;2024;26.643766239485622
