LABEL
Christen-Democratisch & Vlaams
Groen
Nieuw-Vlaamse Alliantie
Socialistische Partij - Anders
Vlaams Belang
Open Vlaamse Liberalen en Democraten
Partij van de Arbeid van België
Parti Socialiste
Mouvement Réformateur
Centre Démocrate Humaniste
Ecologistes Confédérés pour l'Organisation de Luttes Originales
Parti du Travail de Belgique
Démocrate Fédéraliste Indépendant
Parti Populaire
Christlich Soziale Partei
Sozialistische Partei
Partei für Freiheit und Fortschritt
Pro deutschsprachige Gemeinschaft
Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.)
Other parties from Dutch-speaking electoral college
Other parties from French-speaking electoral college
Other parties from German-speaking electoral college
Bulgarska sotsialisticheska partiya/Българска социалистическа партия
Dvizhenie za prava i svobodi/Движение за права и свободи
Coalition (Grazhdani za evropeysko razvitie na Balgariya + Sayuz na demokratichnite sili / Граждани за европейско развитие на България + Съюз на демократичните сили)
Koalitsiya za Bulgaria / Коалиция за България ( Alternativa za balgarsko vazrazhdane et al. / Алтернатива за българско възраждане и други)
Volya / Воля
Demokratichna Bulgaria / Демократична България
Partiya Ataka/Партия Атака
VMRO - Bulgarsko Natsionalno Dvizhenie / ВМРО - Българско национално движение
Natsionalen Front za Spasenie na Bulgaria/Национален фронт за спасение на България
Other parties
Občanská demokratická strana
Česká strana sociálně demokratická
Komunistická strana Čech a Moravy
Křesťanská a demokratická unie – Československá strana lidová
STAROSTOVÉ (STAN) s regionálními partnery a TOP 09
ANO 2011
Česká pirátská strana
Svoboda a přímá demokracie
HLAS
ANO, vytrollíme europarlament
Koalice Rozumní, ND
Socialdemokratiet
Det Radikale Venstre
Det Konservative Folkeparti
Socialistisk Folkeparti
Liberal Alliance
Folkebevægelsen mod EU
Dansk Folkeparti
Venstre, Danmarks Liberale Parti
"""Enhedslisten, de Rød-Grønne"""
Alternativet
Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.
Sozialdemokratische Partei Deutschlands
Bündnis 90/Die Grünen
DIE LINKE
Alternative für Deutschland
Freie Demokratische Partei
FREIE WÄHLER
Piratenpartei Deutschland
PARTEI MENSCH UMWELT TIERSCHUTZ
Nationaldemokratische Partei Deutschlands
Familien-Partei Deutschlands
Ökologisch-Demokratische Partei
Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
VOLT
Eesti Reformierakond
Eesti Keskerakond
Isamaa Erakond
Sotsiaaldemokraatlik Erakond
Erakond Eestimaa Rohelised
Eesti Konservatiivne Rahvaerakond
Erakond Eesti 200
Elurikkuse Erakond
Fianna Fáil Party
Fine Gael Party
Labour Party
Green Party
Sinn Féin
Independents
Social Democrats
Independents 4 Change
Νέα Δημοκρατία/New Democracy
Coalition Κίνημα Αλλαγής/Movement for Change (Πανελλήνιο Σοσιαλιστικό Κίνημα + Δημοκρατική Συμπαράταξη + Κίνημα Δημοκρατών Σοσιαλιστών / Panhellenic Socialist Movement + Democratic Alignment + Movement of Democratic Socialists)
Κομμουνιστικό Κόμμα Ελλάδας/Communist Party of Greece
Συνασπισμός Ριζοσπαστικής Αριστεράς/Coalition of the Radical Left
Χρυσή Αυγή/Golden Dawn
Ανεξάρτητοι Έλληνες/Independent Greeks
Ένωση Κεντρώων / Union of Centrists
Λαϊκή Ενότητα-Μέτωπο ανατροπής / Popular Unity
Ελληνική Λύση / Greek Solution
Το Ποτάμι/The River
Πλεύση Ελευθερίας /Course of Freedom
Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής /European Realistic Disobedience Front
Οικολόγοι Πράσινοι/Ecologist Greens
Partido Socialista Obrero Español + Partido de los Socialistas de Cataluña
Partido Popular
Coalition Unidas Podemos Cambiar Europa (Unidas Podemos + Izquierda Unida + Catalunya en Comú + Barcelona en Comú)
Coalition por una Europa Solidaria (Euzko Alderdi Jeltzalea - Partido Nacionalista Vasco + Coalición Canaria + Compromiso por Galicia + Atarrabia Taldea + Proposta per les Illes Balears y Demòcrates Valencians)
Ciudadanos - Partido de la Ciudadanía
Coal LLIURES PER EUROPA (JUNTS) (Partit Demòcrata Europeu Català  + Junts per Catalunya)
VOX
Coalition Ahora Repúblicas (Esquerra Republicana de Catalunya + Euskal Herria Bildu + El Bloque Nacionalista Galego)
Coalition Compromiso por Europa (Compromís + En Marea +Chunta Aragonesista + Partido Castellano + Coalición Caballas + Nueva Canarias + Més per Mallorca + Coalición por Melilla + Iniciativa del Pueblo Andaluz + Izquierda Andalucista + Verdes de Europa)
France insoumise
Coalition Envie d'Europe écologique et sociale (Parti Socialiste + Radicaux de Gauche + Place publique + Nouvelle Donne)
Europe écologie-Les verts
Les Républicains - Union de la droite et du centre
Rassemblement national
Debout la France + CNIP
Coalition Renaissance (La Republique En marche! + MoDem + Agir + Mouvement radical, social et libéral)
Parti communiste français
Union des Démocrates et Indépendants
Generation.s
Lega Salvini Premier
Partito Democratico (con Siamo Europei)
Forza Italia
Fratelli d'Italia
Movimento Cinque Stelle
Coalition +Europa (+ Europa - Italia in Comune - Partito Democratico Europeo).
Coalition La Sinistra (Sinistra italiana + Rifondazione comunista + Altra Europa con Tsipras + Partito del Sud + Transform Itali + Convergenza Socialista)
Südtiroler Volkspartei (Partito popolare sudtirolese)
Coalition Federazione dei Verdi (Verdi + Possibile + Green Italia et al.).
Δημοκρατικός Συναγερμός/Democratic Rally
Ανορθωτικό Κόμμα Εργαζόμενου Λαού/Progressive Party of Working People
Δημοκρατικό Κόμμα/Democratic Party
ΕΔΕΚ Κίνημα Σοσιαλδημοκρατών/Movement for Social Democrats EDEK
Εθνικό Λαϊκό Μέτωπο/National Popular Front
Συμμαχία Πολιτών-Κίνημα Οικολόγων/Citizens Alliance-Movement of Ecologist
Δημοκρατική Παράταξη / Democratic Alingment
Jaunā Vienotība
Coalition Nacionālā apvienība (Tēvzemei un Brīvībai/LNNK + Visu Latvijai!)
Saskaņa Sociāldemokrātiskā partija
Coalition Zaļo un Zemnieku Savienība (Latvijas Zemnieku Savienība + Latvijas Zaļā Partija)
Latvijas Reģionu apvienība
Kam pieder valsts?
Jaunā konservatīvā partija
Coalition AP! (Latvijas attīstībai + Kustība Par!)
Latvijas Krievu savienībā
Rīcības partija
Progresīvie
Latvijas Sociāldemokrātiskā strādnieku partija
Latviešu Nacionālisti
Jaunā Saskaņa
Centra partija
Coalition Atmoda
Darbo partija
Lietuvos lenkų rinkimų akcija - krikščioniškų šeimų sąjunga
Lietuvos Respublikos liberalų sąjūdis
Lietuvos socialdemokratų partija
Lietuvos Valstiečių ir Žaliųjų Sąjunga
Partija Tvarka ir teisingumas
Tėvynės sąjunga - Lietuvos krikščionys demokratai
Lietuvos Centro Partija
Lietuvos socialdemokratų darbo partija
Lietuvos žaliųjų partija
Lietuvos laisvės sąjunga (liberalai)
Visuomeninis rinkimų komitetas „Aušros Maldeikienės traukinys“
