LABEL
ANO 2011
Alternative für Deutschland
Arbetarepartiet–Socialdemokraterna
Bloco de Esquerda
Bündnis 90/Die Grünen
Centerpartiet
Centre Démocrate Humaniste
Christen-Democratisch Appèl
Christen-Democratisch en Vlaams
ChristenUnie - Staatkundig Gereformeerde Partij
Christlich Demokratische Union Deutschlands/Christlich-Soziale Union in Bayern e.V.
Christlich Soziale Partei
Chrëschtlech-Sozial Vollekspartei/Parti populaire chrétien-social
Ciudadanos - Partido de la Ciudadanía
Coal. RB/Реформаторски блок
Coalición por Europa (Convergència Democràtica de Catalunya + Partido Nacionalista Vasco + Unió Democràtica de Catalunya + Coalición Canarias + Compromiso por Galicia)
Coalition 'La Izquierda por el derecho a Decidir' (Esquerra Republicana de Catalunya + Nova Esquerra Catalana+ Independientes + et al.)
Coalition Aliança Portugal (Partido Social Democrata + Centro Democrático Social/Partido Popular)
Coalition Front de gauche (Parti Communiste Français + Parti de Gauche + Ensemble + Front de gauche)
Coalition Izquierda Plural (Izquierda Unida + Iniciativa per Catalunya Verds + Anova Nationalist Brotherhood + et al.)
Coalition Křesťanská a demokratická unie – Československá strana lidová
Coalition Los Pueblos Deciden (El Bloque Nacionalista Galego + Euskal Herria Bildu + et al.)
Coalition Nacionālā apvienība (Tēvzemei un Brīvībai/LNNK + Visu Latvijai!)
Coalition Nova Slovenija + Slovenska ljudska stranka
Coalition Nuovo Centrodestra + Unión de Centro Democrático + Popolari per l'Italia
Coalition Partidul Social Democrat + Partidul Conservator + Uniunea Nationala pentru Progresul Romaniei
Coalition Primavera Europea (Compromís + Equo + Cha + et al.)
Coalition Sojusz Lewicy Demokratycznej + Unia Pracy
Coalition TOP 09 + Starostové a nezávislí
Coalition Zaļo un Zemnieku Savienība (Latvijas Zemnieku Savienība + Latvijas Zaļā Partija)
Coalition l'Alternative (Union des Démocrates et Indépendants + Mouvement Démocrate)
Coligação Democrática Unitária (Partido Comunista Português + Partido Ecologista os Verdes)
Conservative Party
Dansk Folkeparti
Darbo partija
Das neue Österreich
Democraten 66
Democratic Unionist Party
Demokratesch Partei/Parti démocratique
Demokratikus Koalíció
Demokratična stranka upokojencev Slovenije
Die Grünen - Dei Grüne Alternative
Die Linke
Ecologistes Confédérés pour l'Organisation de Luttes Originales 
Eesti Keskerakond
Eesti Reformierakond
Együtt2014 - Párbeszéd Magyarországért
Erakond Isamaa ja Res Publica Liit
Europe Ecologie
FREIE WÄHLER
Familien-Partei Deutschlands
Feministiskt initiativ
Fianna Fáil
Fidesz-Magyar Polgári Szövetség - Kereszténydemokrata Néppárt
Fine Gael
Folkebevægelsen mod EU
Folkpartiet liberalerna
Forza Italia
Freie Demokratische Partei
Freiheitliche Partei Österreichs
Front national
Green Party
Green Party of England and Wales
Groen
Groenlinks
Hrvatska demokratska zajednica (EPP) + Hrvatska stranka prava dr. Ante Starčević (ECR) + HSS Hrvatska seljačka stranka (EPP)
Ind. Mircea Diaconu
Independent
Independents + other parties
Indrek Tarand (Independent)
Jobbik Magyarországért Mozgalom
Kansallinen Kokoomus/Samlingspartiet
Komunistická strana Čech a Moravy
Kongres Nowej Prawicy
Kresťanskodemokratické hnutie
Kristdemokraterna
Labour Party
Latvijas Krievu savienībā
Lega Nord
Lehet Más a Politika
Liberal Democrats
Lietuvos Respublikos liberalų sąjūdis
Lietuvos Valstiečių ir Žaliųjų Sąjunga
Lietuvos lenkų rinkimų akcija
Lietuvos socialdemokratų partija
Lëtzebuerger Sozialistesch Aarbechterpartei/Parti ouvrier socialiste luxembourgeois
L’Altra Europa – Con Tsipras
Magyar Szocialista Párt
Miljöpartiet de gröna
Moderata Samlingspartiet
Most-Híd
Mouvement Réformateur
Movimento Cinque Stelle
Nationaldemokratische Partei Deutschlands
Nieuw-Vlaamse Alliantie
Nová väčšina - Dohoda
Obyčajní Ľudia a nezávislé osobnosti
Občanská demokratická strana
Održivi razvoj Hrvatske
Open Vlaamse Liberalen en Democraten
Other parties
Other parties Great Britain
Other parties Northern Ireland
Other parties from Dutch-speaking electoral college
Other parties from French-speaking electoral college
Other parties from German-speaking electoral college
PARTEI MENSCH UMWELT TIERSCHUTZ
Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
Parti Socialiste
Parti Socialiste - Parti radical de gauche
Partido Popular
Partido Socialista
Partido Socialista Obrero Español + Partit dels Socialistes de Catalunya
Partido da Terra
Partidul Democrat Liberal
Partidul Mișcarea Populară
Partidul Naţional Liberal
Partij van de Arbeid
Partij voor de Dieren
Partij voor de Vrijheid
Partija 'VIENOTĪBA'
Partija Tvarka ir teisingumas
Partit Laburista
Partit Nazzjonalista
Partito Democratico
Perussuomalaiset/Sannfinländarna
Piratenpartei Deutschland
Plaid Cymru - Party of Wales
Platforma Obywatelska
Polskie Stronnictwo Ludowe
Por la Democracia Social
Prawo i Sprawiedliwość
Radikale Venstre
SMER - Sociálna demokracia
Saskaņa sociāldemokrātiskā partija
Scottish National Party
Sinn Fein
Sinn Féin
Sloboda a Solidarita
Slovenska demokratska stranka
Slovenská demokratická a kresťanská únia - Demokratická strana
Socialdemokratiet
Socialistische Partij
Socialistische Partij - Anders
Socialistisk Folkeparti
Socialni demokrati
Socijaldemokratska partija Hrvatske + Hrvatska narodna stranka + Istarski demokratski sabor 
Sotsiaaldemokraatlik Erakond
Sozialdemokratische Partei Deutschlands
Sozialdemokratische Partei Österreichs
Strana mad'arskej komunity - Magyar Közösség Pártja
Strana svobodných občanů
Suomen Keskusta/Centern i Finland
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Svenska folkpartiet i Finland/Suomen ruotsalainen kansanpuolue
Sverigedemokraterna
Südtiroler Volkspartei (Partito popolare sudtirolese)
Tėvynės sąjunga - Lietuvos krikščionys demokratai
Ulster Unionist Party
Union pour les Outre-Mer
Union pour un Mouvement Populaire
United Kingdom Independence Party
Uniunea Democrată Maghiară din România
Unión Progreso y Democracia
Vasemmistoliitto/Vänsterförbundet
Venstre, Danmarks Liberale Parti
Verjamem
Vihreä liitto/Gröna förbundet
