COUNTRY_CODE;COUNTRY_NAME;YEAR;TEMPERATURE
AT;Austria;2024;44.52933999629101
BE;Belgium;2024;55.05153511144504
BG;Bulgaria;2024;37.89526525878599
CY;Cyprus;2024;67.1225513516046
CZ;Czechia;2024;20.539911995659445
DE;Germany;2024;14.675547984237706
DK;Denmark;2024;52.35452421032555
EE;Estonia;2024;55.48176794761196
ES;Spain;2024;8.442539751294454
FI;Finland;2024;0.0
FR;France;2024;36.8192199828988
HR;Croatia;2024;100.0
HU;Hungary;2024;1.462731594790327
IE;Ireland;2024;88.00033739320004
IT;Italy;2024;24.37116697275828
LT;Lithuania;2024;75.34928604999838
LU;Luxembourg;2024;49.77592475469304
LV;Latvia;2024;97.69851922905124
MT;Malta;2024;56.31965786279199
NL;Netherlands;2024;39.56994786537687
PL;Poland;2024;20.08985125221997
PT;Portugal;2024;0.2497902688977618
RO;Romania;2024;14.215734738545676
SE;Sweden;2024;71.13540357999355
SI;Slovenia;2024;65.1159001010036
SK;Slovakia;2024;96.905426522303
AT;Austria;2019;30.024364175735258
BE;Belgium;2019;51.745805872479366
BG;Bulgaria;2019;79.03908629046427
CY;Cyprus;2019;15.91393752485127
CZ;Czechia;2019;17.581242743966378
DE;Germany;2019;33.36539816378969
DK;Denmark;2019;41.66088386839424
EE;Estonia;2019;100.0
ES;Spain;2019;69.73606227771276
FI;Finland;2019;46.27976757521086
FR;France;2019;39.62268114475357
GB;United Kingdom of Great Britain and Northern Ireland;2019;27.6688373463345
HR;Croatia;2019;50.89978336211748
HU;Hungary;2019;43.951756282673664
IE;Ireland;2019;0.0
IT;Italy;2019;56.885094200647934
LT;Lithuania;2019;24.84819118457022
LU;Luxembourg;2019;32.98380903097958
LV;Latvia;2019;37.17925430121883
MT;Malta;2019;73.4365722247977
NI;Nicaragua;2019;28.46807912442876
NL;Netherlands;2019;37.777217812745015
PL;Poland;2019;43.957692055380406
PT;Portugal;2019;31.053972812095903
RO;Romania;2019;49.206693162059445
SE;Sweden;2019;69.85542068575441
SI;Slovenia;2019;79.81672161174211
SK;Slovakia;2019;57.35612199026848
AT;Austria;2014;53.79957237248282
BE;Belgium;2014;53.14875791786013
BG;Bulgaria;2014;0.0
CY;Cyprus;2014;57.96898094178152
CZ;Czechia;2014;62.79208072153243
DE;Germany;2014;37.33392757113481
DK;Denmark;2014;60.12421575416346
EE;Estonia;2014;41.06750744030614
ES;Spain;2014;53.60933463205144
FI;Finland;2014;1.3611160087646468
FR;France;2014;41.84609221214288
GB;United Kingdom of Great Britain and Northern Ireland;2014;57.98081234761455
HR;Croatia;2014;31.377594085979805
HU;Hungary;2014;22.871362134369026
IE;Ireland;2014;35.65873064713925
IT;Italy;2014;12.17602293980498
LT;Lithuania;2014;40.88122540472487
LU;Luxembourg;2014;29.05505307430296
LV;Latvia;2014;11.65287611394934
MT;Malta;2014;100.00000000000004
NI;Nicaragua;2014;34.923489176739864
NL;Netherlands;2014;24.792404045803917
PL;Poland;2014;23.55361679082759
PT;Portugal;2014;25.730789052259396
RO;Romania;2014;28.42467906057111
SE;Sweden;2014;38.426307099296665
SI;Slovenia;2014;58.47890130603994
SK;Slovakia;2014;43.40206221022439
AT;Austria;2009;82.22973778764414
BE;Belgium;2009;56.90078905939998
BG;Bulgaria;2009;63.92559288675952
CY;Cyprus;2009;30.40475183383346
CZ;Czechia;2009;0.0
DE;Germany;2009;41.060405811191856
DK;Denmark;2009;60.4311853892808
EE;Estonia;2009;2.839471569820276
ES;Spain;2009;100.0
FI;Finland;2009;62.125434427867816
FR;France;2009;34.749630712477206
GB;United Kingdom of Great Britain and Northern Ireland;2009;73.26609144003513
HU;Hungary;2009;11.385747495723535
IE;Ireland;2009;4.315323750392963
IT;Italy;2009;22.6131576582603
LT;Lithuania;2009;16.169207238137837
LU;Luxembourg;2009;82.07230787352259
LV;Latvia;2009;43.76308112917067
MT;Malta;2009;59.20024841459052
NI;Nicaragua;2009;67.19280910085672
NL;Netherlands;2009;34.882207665234006
PL;Poland;2009;35.76362425636404
PT;Portugal;2009;58.15989259522006
RO;Romania;2009;73.037462449919
SE;Sweden;2009;40.449105583083536
SI;Slovenia;2009;45.83593956197854
SK;Slovakia;2009;22.71591227635674
