PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;0.59;OFFICIAL;
UK02;PARTY;0.6;OFFICIAL;
UK03;PARTY;0.25;OFFICIAL;
UK04;PARTY;0.37;OFFICIAL;
UK05;PARTY;0.3;OFFICIAL;
UK06;PARTY;0.51;OFFICIAL;
UK07;PARTY;8.86;OFFICIAL;
UK08;PARTY;13.74;OFFICIAL;
UK09;PARTY;3.22;OFFICIAL;
UK10;PARTY;3.51;OFFICIAL;
UK11;PARTY;0.97;OFFICIAL;
UK12;PARTY;19.78;OFFICIAL;
UK13;PARTY;11.78;OFFICIAL;
UK14;PARTY;3.31;OFFICIAL;
UK15;PARTY;30.79;OFFICIAL;
UK90;PARTY;0.1;OFFICIAL;
UK91;PARTY;1.48;OFFICIAL;
FI01;PARTY;13.5;OFFICIAL;
FI02;PARTY;20.8;OFFICIAL;
FI03;PARTY;14.6;OFFICIAL;
FI04;PARTY;6.9;OFFICIAL;
FI05;PARTY;16.0;OFFICIAL;
FI06;PARTY;6.3;OFFICIAL;
FI07;PARTY;13.8;OFFICIAL;
FI08;PARTY;4.9;OFFICIAL;
FI09;PARTY;0.3;OFFICIAL;
FI10;PARTY;0.7;OFFICIAL;
FI90;PARTY;2.2;OFFICIAL;
EL01;PARTY;33.12;OFFICIAL;
EL02;PARTY;7.72;OFFICIAL;
EL03;PARTY;5.35;OFFICIAL;
EL04;PARTY;23.75;OFFICIAL;
EL05;PARTY;4.87;OFFICIAL;
EL06;PARTY;0.8;OFFICIAL;
EL07;PARTY;1.45;OFFICIAL;
EL08;PARTY;0.56;OFFICIAL;
EL09;PARTY;4.18;OFFICIAL;
EL10;PARTY;1.52;OFFICIAL;
EL11;PARTY;1.61;OFFICIAL;
EL12;PARTY;0.64;OFFICIAL;
EL13;PARTY;2.99;OFFICIAL;
EL14;PARTY;0.87;OFFICIAL;
EL90;PARTY;10.57;OFFICIAL;
ES01;PARTY;33.18;OFFICIAL;
ES02;PARTY;20.35;OFFICIAL;
ES03;PARTY;10.17;OFFICIAL;
ES04;PARTY;2.85;OFFICIAL;
ES05;PARTY;12.3;OFFICIAL;
ES06;PARTY;4.59;OFFICIAL;
ES07;PARTY;6.28;OFFICIAL;
ES08;PARTY;5.64;OFFICIAL;
ES09;PARTY;1.33;OFFICIAL;
ES10;PARTY;1.33;OFFICIAL;
ES90;PARTY;1.98;OFFICIAL;
LU01;PARTY;18.91;OFFICIAL;
LU02;PARTY;12.21;OFFICIAL;
LU03;PARTY;21.43;OFFICIAL;
LU04;PARTY;4.84;OFFICIAL;
LU05;PARTY;21.1;OFFICIAL;
LU06;PARTY;10.03;OFFICIAL;
LU07;PARTY;7.7;OFFICIAL;
LU08;PARTY;1.14;OFFICIAL;
LU09;PARTY;0.53;OFFICIAL;
LU10;PARTY;2.11;OFFICIAL;
PT01;PARTY;10.56;OFFICIAL;
PT02;PARTY;7.41;OFFICIAL;
PT03;PARTY;35.88;OFFICIAL;
PT04;PARTY;23.56;OFFICIAL;
PT05;PARTY;6.65;OFFICIAL;
PT06;PARTY;5.46;OFFICIAL;
PT07;PARTY;2.0;OFFICIAL;
PT90;PARTY;8.48;OFFICIAL;
