DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
BG,BG03,PARTY,GERB/ГЕРБ,Coalition (Grazhdani za evropeysko razvitie na Balgariya + Sayuz na demokratichnite sili / Граждани за европейско развитие на България + Съюз на демократичните сили),,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG04,PARTY,Koalitsiya za Bulgaria/Коалиция за България,Koalitsiya za Bulgaria / Коалиция за България ( Alternativa za balgarsko vazrazhdane et al. / Алтернатива за българско възраждане и други),,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG05,PARTY,Volya/Воля,Volya / Воля,,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG06,PARTY,Demokratichna Bulgaria/Демократична България,Demokratichna Bulgaria / Демократична България,,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG07,PARTY,ATAKA/АТАКА,Partiya Ataka/Партия Атака,,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG08,PARTY,VMRO/ВМРО,VMRO - Bulgarsko Natsionalno Dvizhenie / ВМРО - Българско национално движение,,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG09,PARTY,NFSB/НФСБ,Natsionalen Front za Spasenie na Bulgaria/Национален фронт за спасение на България,,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG90,PARTY,Other parties,Other parties,,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ01,PARTY,ODS,Občanská demokratická strana,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ02,PARTY,ČSSD,Česká strana sociálně demokratická,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ03,PARTY,KSČM,Komunistická strana Čech a Moravy,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ04,PARTY,KDU-ČSL,Křesťanská a demokratická unie – Československá strana lidová,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ05,PARTY,TOP 09 + STAN,STAROSTOVÉ (STAN) s regionálními partnery a TOP 09,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ06,PARTY,ANO 2011,ANO 2011,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ07,PARTY,Piráti,Česká pirátská strana,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ08,PARTY,SPD,Svoboda a přímá demokracie,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ09,PARTY,HLAS,HLAS,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ10,PARTY,EU TROLL,"ANO, vytrollíme europarlament",,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ11,PARTY,Vědci pro ČR,Vědci pro Českou republiku   ,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
