COUNTRY_CODE;COUNTRY_NAME;YEAR;TEMPERATURE
AT;Austria;2024;43.29942308539218
BE;Belgium;2024;15.776765355948989
BG;Bulgaria;2024;64.01550182763025
CY;Cyprus;2024;37.68881842603603
CZ;Czechia;2024;58.15827718324746
DE;Germany;2024;11.538292156603694
DK;Denmark;2024;33.00847546330359
EE;Estonia;2024;61.83115338882284
ES;Spain;2024;72.19359668824592
FI;Finland;2024;0.0
FR;France;2024;69.83309111727661
HR;Croatia;2024;56.98683225437091
HU;Hungary;2024;82.45474963667591
IE;Ireland;2024;23.428898577531164
IT;Italy;2024;77.76456599286564
LT;Lithuania;2024;40.92570572951072
LU;Luxembourg;2024;11.080283612982788
LV;Latvia;2024;56.4539569295812
MT;Malta;2024;19.82648522482055
NL;Netherlands;2024;68.94790152816313
PL;Poland;2024;100.0
PT;Portugal;2024;21.01114193860925
RO;Romania;2024;44.77033513894395
SE;Sweden;2024;6.495794248469643
SI;Slovenia;2024;31.88352059231916
SK;Slovakia;2024;26.643766239485625
AT;Austria;2019;54.880672602694375
BE;Belgium;2019;34.19780874515905
BG;Bulgaria;2019;46.45327860712985
CY;Cyprus;2019;36.94680745423853
CZ;Czechia;2019;60.23302770514052
DE;Germany;2019;40.20720929462778
DK;Denmark;2019;25.748899407500584
EE;Estonia;2019;52.52060507762073
ES;Spain;2019;26.40759988083812
FI;Finland;2019;59.107609810996
FR;France;2019;69.7725993843302
GB;United Kingdom;2019;91.27505802382775
HR;Croatia;2019;66.74721128065936
HU;Hungary;2019;88.51080732183641
IE;Ireland;2019;29.2158937676934
IT;Italy;2019;86.95839263844294
LT;Lithuania;2019;41.52461024130284
LU;Luxembourg;2019;32.703319982787725
LV;Latvia;2019;69.83880043692693
MT;Malta;2019;29.519049352884718
NI;Nicaragua;2019;54.26890063252941
NL;Netherlands;2019;34.80520340273411
PL;Poland;2019;100.0
PT;Portugal;2019;0.0
RO;Romania;2019;64.0991691767899
SE;Sweden;2019;40.07149713680448
SI;Slovenia;2019;35.073317665750885
SK;Slovakia;2019;72.27499917248684
AT;Austria;2014;57.38227972371236
BE;Belgium;2014;53.55352196627047
BG;Bulgaria;2014;44.79506328670103
CY;Cyprus;2014;43.9360471231724
CZ;Czechia;2014;47.24238280565198
DE;Germany;2014;37.2462396129168
DK;Denmark;2014;55.72385259983872
EE;Estonia;2014;50.9554363451492
ES;Spain;2014;29.280179516847237
FI;Finland;2014;45.62602994284913
FR;France;2014;69.41201220153572
GB;United Kingdom;2014;87.94264250225862
HR;Croatia;2014;72.06970302584061
HU;Hungary;2014;97.5491742926265
IE;Ireland;2014;49.2409102065145
IT;Italy;2014;48.50461063777568
LT;Lithuania;2014;63.00269976508538
LU;Luxembourg;2014;47.02499912345289
LV;Latvia;2014;84.32733775113076
MT;Malta;2014;36.95171978542127
NI;Nicaragua;2014;55.57447100665043
NL;Netherlands;2014;42.37579327513061
PL;Poland;2014;100.0
PT;Portugal;2014;0.0
RO;Romania;2014;45.619017566004
SE;Sweden;2014;29.90428105606395
SI;Slovenia;2014;58.29038252515691
SK;Slovakia;2014;42.6738192910487
AT;Austria;2009;30.434601441726745
BE;Belgium;2009;21.76549022875953
BG;Bulgaria;2009;46.69361223384308
CY;Cyprus;2009;6.221092545522737
CZ;Czechia;2009;0.0
DE;Germany;2009;14.38393266386099
DK;Denmark;2009;22.259260802533444
EE;Estonia;2009;23.4384766031918
ES;Spain;2009;21.89674569773741
FI;Finland;2009;6.508604525188551
FR;France;2009;10.467102795949833
GB;United Kingdom;2009;34.29648933652879
HU;Hungary;2009;100.0
IE;Ireland;2009;34.526438601608405
IT;Italy;2009;75.31147131130464
LT;Lithuania;2009;42.5934413933914
LU;Luxembourg;2009;12.829701237551568
LV;Latvia;2009;33.94308096170674
MT;Malta;2009;10.317096545689404
NI;Nicaragua;2009;33.384921144638405
NL;Netherlands;2009;28.48868702862619
PL;Poland;2009;75.14896454018917
PT;Portugal;2009;20.009167048627027
RO;Romania;2009;27.79496929240215
SE;Sweden;2009;1.3542230926288532
SI;Slovenia;2009;33.90141255885662
SK;Slovakia;2009;26.096920705029373
