DIVISION_ID;ID;TYPE_x;ACRONYM;LABEL;MEMBER_OF_COALITION;COALITION_MEMBERS;name;alpha-2;alpha-3;country-code;iso_3166-2;region;sub-region;intermediate-region;region-code;sub-region-code;intermediate-region-code;PARTY_ID;TYPE_y;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME;TEMPERATURE;WEIGHTED_TEMP
BE;BE13;PARTY;PFF; Partei für Freiheit und Fortschritt;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE13;PARTY;20.37;FINAL;;-1.719267254426422;-35.02147397266622
BE;BE14;PARTY;ecolo (G);ecolo (G);;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE14;PARTY;0.09;FINAL;;-0.46792278019139255;-0.04211305021722533
BE;BE14;PARTY;ecolo (G);ecolo (G);;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE14;PARTY;15.58;FINAL;;-0.9595654101695499;-14.950029090441587
BE;BE15;PARTY;SP;Sozialdemokratischen Partei Ostbelgiëns;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE15;PARTY;0.09;FINAL;;0.4917366648535104;0.044256299836815935
BE;BE15;PARTY;SP;Sozialdemokratischen Partei Ostbelgiëns;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE15;PARTY;14.63;FINAL;;-1.412361904262705;-20.662854659363376
BE;BE91;PARTY;Other parties W.;Other parties from French-speaking electoral college;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE91;PARTY;8.63;FINAL;;-1.3932147614107495;-12.02344339097477
BE;BE91;PARTY;Other parties W.;Other parties from French-speaking electoral college;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE91;PARTY;2.29;FINAL;;-0.7548252381783587;-1.7285497954284414
BE;BE92;PARTY;Other parties G.;Other parties from German-speaking electoral college;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE92;PARTY;0.1;FINAL;;0.421195148627846;0.042119514862784604
BE;BE92;PARTY;Other parties G.;Other parties from German-speaking electoral college;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE92;PARTY;17.17;FINAL;;1.6144842257858398;27.720694156742873
BE;BE90;PARTY;Other parties F.;Other parties from Dutch-speaking electoral college;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE90;PARTY;2.18;FINAL;;-0.035735325293412945;-0.07790300913964023
