COUNTRY_CODE;COUNTRY_NAME;YEAR;TEMPERATURE
AT;Austria;2014;57.38227972371236
BE;Belgium;2014;53.553521966270466
BG;Bulgaria;2014;44.79506328670103
CY;Cyprus;2014;43.9360471231724
CZ;Czechia;2014;47.24238280565198
DE;Germany;2014;37.246239612916796
DK;Denmark;2014;55.72385259983872
EE;Estonia;2014;50.955436345149195
ES;Spain;2014;29.280179516847234
FI;Finland;2014;45.62602994284913
FR;France;2014;69.41201220153572
GB;United Kingdom of Great Britain and Northern Ireland;2014;87.94264250225862
HR;Croatia;2014;72.06970302584061
HU;Hungary;2014;97.5491742926265
IE;Ireland;2014;49.2409102065145
IT;Italy;2014;48.50461063777568
LT;Lithuania;2014;63.00269976508538
LU;Luxembourg;2014;47.02499912345289
LV;Latvia;2014;84.32733775113076
MT;Malta;2014;36.95171978542127
NI;Nicaragua;2014;55.57447100665043
NL;Netherlands;2014;42.375793275130604
PL;Poland;2014;100.00000000000001
PT;Portugal;2014;0.0
RO;Romania;2014;45.619017566004
SE;Sweden;2014;29.90428105606395
SI;Slovenia;2014;58.29038252515691
SK;Slovakia;2014;42.6738192910487
