Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NC,2013,9,Male,14,Right-Handed,153,23,58,2,Bus,30,0.37,45,Skateboarding/Rollerblading,100,100,100,100,50,100,23,Same length,65,70,Ring finger,August,Summer,No,No,Other,Juice,Other,9,11,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",37,38,7,0,0,12,6,1,4,12,2,1,0,5,Very little,Graduate degree,Techno/Electronic,Fly,Happy,Other,Environment
USA,NC,2021,12,Female,18,Right-Handed,157.5,24,,1,Car,10,0.403,49,Bowling,497,711,267,283,786,1000,24,Same length,76.2,63.5,Index finger,October,Fall,No,,Poultry,Water,Other,7,less,,,,,,,,,,,,,,,,,,,,,,,,
USA,SC,2020,12,Male,14,Right-Handed,184,24,182,1,Car,10,0.333,46,Other,1000,631,535,888,225,225,26,Right foot,78,74,Same length,April,Fall,No,No,Breads/Sandwiches,Water,Social studies,7,9,5,,Cell phone,10,10,3,12,18,4,4,9,0,1,9,0,0,1,Some,Other,Country,Telepathy,Happy,Other,Health
USA,FL,2013,12,Male,17,Right-Handed,169,24,162,2,Car,20,0.295,35,Walking/Hiking,316,524,422,620,1000,1000,24,,70.5,70.5,Same length,February,Winter,Yes,No,Meat,Water,Social studies,7,10,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,25,35,4,4,7,0,1,49,4,49,4,0,1,Some,Graduate degree,Rock and roll,Invisibility,Happy,Friend,"Arts, culture, sports"
USA,IN,2017,12,Male,17,Right-Handed,189.2,27.94,180.3,1,Car,8,0.395,39,Golf,728,857,840,639,1000,1000,27.94,Same length,82.55,88.9,Ring finger,July,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,6,5,Yes - broadband connection,Text messaging,40,40,6,1,7,9,28,24,5,2,16,18,16,2,Some,Undergraduate degree,Country,Fly,Happy,Sports person,Education/Youth development
USA,NC,2016,11,Male,16,Right-Handed,175,26,173,3,Bus,30,0.308,74,Athletics,1000,1000,1000,1000,500,700,26,Same length,100,100,Same length,August,Summer,No,No,Pizza/Pasta,Water,Science,8,10,4,Yes - broadband connection,Text messaging,30,40,6,0.5,,,,,,,,,,,,,,,,,
USA,CA,2014,11,Female,17,Right-Handed,165,22,153,2,Car,10,0.44,69,Baseball/Softball,850,503,1000,725,860,860,22,Same length,80,85,Ring finger,May,Spring,Yes,No,Desserts,Water,Science,7,9,6,Yes - broadband connection,Internet chat or instant messaging,10,10,5,1,8,10,2,0,5,5,7,9,0,4,Some,Other,Pop,Telepathy,Healthy,Relative,Environment
USA,NC,2023,4,Male,17,Right-Handed,187.5,27.5,181,1,Car,5 min,0.442,61,Football (American),1000,989,210,450,1000,1000,27,Right foot,8,8.5,Ring finger,January,Fall,No,No,Seafood,Water,Art,6,10,2,Yes - broadband connection,Internet chat or instant messaging,100,80,14,5,6,,4,1,6,6,9,8,2,2,Some,Undergraduate degree,Rock and roll,Fly,Rich,Relative,"Wildlife, animals"
USA,PA,2024,12,Female,17,Right-Handed,68,26,168,1,Car,10,0.4,,Hockey (Field),1000,599,396,0,497,1000,26,Same length,90,87,Index finger,March,Summer,Yes,No,Pizza/Pasta,Tea,English,7,10,3,Yes - broadband connection,Cell phone,50,40,100,10,2,10,14,0,40,8,10,12,0,1,A lot,Graduate degree,Rap/Hip hop,Freeze time,Rich,Doctor or nurse,Health
USA,UT,2010,9,Male,15,Right-Handed,170,26,180,2,Bus,8,0.25,27,Skateboarding/Rollerblading,925,914,1000,,869,900,25,Right foot,110,110,Same length,December,Summer,No,No,Meat,Juice,Physical education,8,11,5,Yes - broadband connection,In person,100,115,4,0,5,5,20,15,3,40,4,10,15,20,Some,Undergraduate degree,Heavy metal,Telepathy,Happy,Relative,"Wildlife, animals"
USA,MI,2021,9,Female,15,Right-Handed,149.9,20.32,149.9,1,Car,30,0.321,35,Swimming,1000,980,960,500,50,500,20.32,Same length,152.4,152.4,Same length,January,Summer,No,No,Seafood,Water,Computers and technology,3,5,4,Yes - other,Text messaging,40ish,35ish,3,7,24/7,3,12,0,24/7,21,24/7,1,0,0,Some,Graduate degree,Other,Fly,Healthy,Friend,"Wildlife, animals"
USA,NY,2018,5,Male,11,Right-Handed,149,125,108,2,Rail (Train/Tram/Subway),25,0.73,104,Basketball,1000,500,668,219,1000,1000,125,Same length,9,10,Ring finger,March,Summer,Yes,No,No favorite,Water,Computers and technology,11,7,8,Yes - broadband connection,Cell phone,0,0,0,1,2,5,7,10,0,0,5,0,0,2,A lot,Undergraduate degree,Rap/Hip hop,Freeze time,Famous,Other,Religious
USA,IN,2020,11,Female,16,Right-Handed,5’2”,,,1,Bus,15,0.343,36,Walking/Hiking,500,500,50,50,0,0,,Same length,,,Same length,October,Fall,No,No,Pizza/Pasta,Water,History,8,6,4,Yes - broadband connection,Text messaging,A lot,A lot,0,5,10,20,6,3,0,20,24,50,0,40,Some,Some college,Country,Invisibility,Happy,Actor,"Wildlife, animals"
USA,IN,2016,12,Male,17,Right-Handed,190,31,181,2,Car,8,0.337,35,Martial Arts,600,500,400,600,900,1000,31,Same length,110,120,Ring finger,February,Fall,No,No,Meat,Juice,Mathematics and statistics,7,11,8,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,1500,40,1,0.5,20,4,0,8,3,20,0.5,20,1,Very little,Graduate degree,Other,Freeze time,Rich,Business person,International aid
USA,OH,2019,12,Male,17,Right-Handed,5'11,29cm,56cm,2,Car,12min,99,66,Basketball,,,,,,,,Same length,,,Ring finger,April,Winter,No,No,Breads/Sandwiches,Soft drink (caffeinated),Computers and technology,,,,Yes - other,Internet chat or instant messaging,,,,,,,,,,,,,,,Some,Graduate degree,Rap/Hip hop,Super strength,Happy,Business person,Religious
USA,NY,2022,11,Male,16,Right-Handed,200,30,192,2,Rail (Train/Tram/Subway),30,0.275,31,Football (American),701,305,465,706,193,219,31,Left foot,190,200,Ring finger,February,Winter,No,No,Fruit,Water,Science,7,10,5,Yes - broadband connection,Text messaging,50,164,11,10,8,3,5,2,0,4,11,2,0,4,Some,Undergraduate degree,Pop,Freeze time,Rich,Politician,Environment
USA,CA,2018,12,Female,17,Right-Handed,155,21,163,1,Car,45,0.635,34,Walking/Hiking,850,850,500,200,900,1000,22,Left foot,70,70,Same length,January,Winter,No,No,Pizza/Pasta,Soft drink (non-caffeinated),Art,6,10,3,Yes - other,Text messaging,54,44,3.5,0,8,4,0,0,10,6,168,5,6,7,A lot,Undergraduate degree,Other,Telepathy,Happy,Other,Other
USA,MD,2019,12,Female,17,Right-Handed,160,23,57,2,Bus,10,0.47,48,Swimming,500,500,500,500,150,500,22,Right foot,6.7,6.2,Index finger,February,Fall,No,No,Pizza/Pasta,Water,English,6.5,8,6,Yes - other,Text messaging,15,10,1.5,0,9,0,4,0,0.5,2,4,2,0,0.5,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Health
USA,MO,2017,12,Male,18,Right-Handed,184,25,184,1,Car,20,0.345,41,Bowling,743,668,610,508,663,947,25,Same length,86,92,Ring finger,June,Spring,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Science,7,9,4,Yes - broadband connection,Text messaging,30,35,3,,,,,,,,,,,,,,,,,,
USA,MO,2017,6,Female,12,Right-Handed,145,22,149,1,Car,10,0.39,45,Athletics,8,7,9,9,10,1000,21,Right foot,6,6,Same length,September,Summer,Yes,No,Vegetables,Juice,Physical education,9,6,5,Yes - other,Text messaging,0,0,0,1,1,3,0,7,,,,,,,,,,,,,
USA,MD,2015,9,Female,13,Right-Handed,173,9,25,1,Car,30,1.763,88,Basketball,1000,1000,1000,1000,1000,1000,9,Same length,60,60,Same length,October,Fall,Yes,No,Soups,Water,Science,8,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NE,2018,11,Female,18,Right-Handed,167,22,164,3,Car,5,0.459,62,Gymnastics,900,1000,1000,1000,900,900,24,Left foot,68,65,Ring finger,March,Summer,No,No,Salads,Water,Languages,8,10,4,Yes - broadband connection,Internet chat or instant messaging,50,50,10,10,2,10,5,0,10,20,70,10,0,1,A lot,Graduate degree,Pop,Fly,Happy,Relative,International aid
USA,IN,2012,12,Male,17,Left-Handed,180,24,172,1,Car,10,0.435,41,Basketball,455,123,48,,1000,1000,24,Same length,90,80,Index finger,August,Summer,No,No,Meat,Energy drink,Mathematics and statistics,7,9,4,Yes - other,Text messaging,300,300,24,5,9,2,10,1,5,10,8,8,0,0,Some,Graduate degree,Rap/Hip hop,Freeze time,Famous,Business person,Health
USA,SC,2023,11,Female,17,Right-Handed,158,22,139,1,Car,15,0.384,42,Hockey (Field),904,406,481,754,316,642,22,Same length,80,80,Same length,June,Fall,Yes,No,Rice/Noodle dishes,Tea,Art,7,9,3,Yes - broadband connection,Text messaging,300,280,28,2,21,21,0,0,7,4,98,20,5,4,A lot,Graduate degree,Other,Super strength,Happy,Friend,"Arts, culture, sports"
USA,TX,2016,12,Female,17,Right-Handed,160,24,,2,Car,5,,,None,1000,50,500,100,0,5,24,Same length,,,,December,Fall,Yes,No,Pizza/Pasta,Water,Art,5,8,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",45,50,14,3,21,21,0,0,168,168,168,10,16,21,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Other,International aid
USA,MI,2023,12,Male,16,Right-Handed,180,28,178,1,Bus,20,0.315,34,Other,10,10,10,0,100,100,28,Same length,8.7,8,Index finger,June,Spring,Yes,No,Meat,Water,Science,6.5,7.5,5,Yes - broadband connection,In person,200`,200,15,0,0,0,5,0,15,0,15,2,20,3,,High school,Other,Super strength,Happy,Sports person,Other
USA,PA,2023,12,Female,17,Right-Handed,165,22,168,1,Car,7,0.339,48,Dancing,711,620,508,353,358,791,24,Left foot,80,75,Index finger,June,Winter,Yes,No,Rice/Noodle dishes,Water,Art,5,10,3,Yes - other,Text messaging,75,80,7,1,13,10,0,0,15,6,30,8,0,5,Some,Undergraduate degree,Rhythm and blues (R&B),Invisibility,Happy,Musician or singer,Health
USA,NC,2022,12,Female,17,Right-Handed,174,23,170,1,Car,23,0.4,30,Soccer,700,750,750,750,900,980,24,Left foot,73,76,Ring finger,February,Fall,Yes,No,Pizza/Pasta,Water,Science,7.5,10.5,5,Yes - broadband connection,In person,35,34,6,1,28,1,6,0,3,2,65,9,6,2,A lot,Undergraduate degree,Pop,Fly,Happy,Relative,Health
USA,IN,2018,12,Female,17,Right-Handed,175,26,165,1,Car,10,0.382,45,Basketball,100,200,100,100,600,1000,27,Left foot,8,8.6,Ring finger,September,Fall,No,No,Pizza/Pasta,Water,Physical education,6,9,5,Yes - broadband connection,Text messaging,300,300,10,1,1,20,4,0,25,30,10,1,25,3,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Coach or club leader,International aid
USA,CA,2022,12,Male,17,Right-Handed,177,27.1,175.1,2,Walk,10,263,39,Other,62,900,820,300,1000,1000,27.1,Same length,100,940,Index finger,January,Fall,No,No,Rice/Noodle dishes,Water,Science,6,9,2,Yes - broadband connection,Text messaging,20,19,4,0,20,2,7,0,0,1,1,0,16,0,Some,Graduate degree,Pop,Freeze time,Rich,Business person,Education/Youth development
USA,IN,2019,11,Female,17,Right-Handed,157,20,153,1,Car,4,0.33,55,Swimming,800,800,800,800,100,700,21,Left foot,80,80,Same length,April,Spring,No,No,Fruit,Milk,Science,6,9,4,Yes - broadband connection,Text messaging,100,100,30,2,5,0,4,0,55,60,100,10,0,15,Some,Some college,Rap/Hip hop,Invisibility,Happy,Relative,"Wildlife, animals"
USA,MD,2014,7,Female,12,Right-Handed,164,23,84,1,Bus,7,0.54,65,Basketball,800,900,900,1000,0,900,22,Right foot,7.5,8,Ring finger,May,Spring,No,No,Pizza/Pasta,Juice,Physical education,8.5,9,4,Yes - other,Text messaging,50,50,3,2,1,2,6,0,2,1,5,4,0,1,A lot,Graduate degree,Rap/Hip hop,Telepathy,Famous,Sports person,Other
USA,NY,2013,12,Female,17,Right-Handed,160,22,155,2,Walk,3,0.29,28,Other,700,500,900,900,800,900,23,Left foot,91,93,Ring finger,April,Summer,No,No,Desserts,Water,Mathematics and statistics,8,9,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,4,0.5,10,2,5,2,10,1,20,0,0,1,Some,Graduate degree,Jazz,Invisibility,Rich,Friend,Environment
USA,CA,2011,12,Male,17,Right-Handed,171,26,179,2,Car,15,0.332,35,Swimming,807,476,1000,,1000,1000,26,Same length,,112,Ring finger,April,Spring,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,8,10,Yes - broadband connection,Cell phone,15,20,5,10,30,5,13,10,10,2,10,5,0,10,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Business person,Health
USA,NY,2022,11,Female,16,Left-Handed,165,23,167,3,Rail (Train/Tram/Subway),27,0.371,45,Running/Jogging,802,663,529,535,524,652,22,Right foot,80,80,Same length,December,Spring,No,No,No favorite,Coffee,Other,6,7.5,2,Yes - other,"Myspace, Facebook, other social networking sites, or blog",50,65,9,12,20,3,1,0,3,1,23,2,0,2,A lot,Graduate degree,Other,Invisibility,Healthy,Actor,"Wildlife, animals"
USA,SC,2022,11,Female,17,Right-Handed,,,,1,Car,20,0.48,39,Skateboarding/Rollerblading,900,900,900,900,800,800,,,,,,July,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Text messaging,10,12,4,1,3,2,0,0,2,1,2,2,7,7,A lot,Graduate degree,Other,Freeze time,Healthy,Teacher,Education/Youth development
USA,NM,2011,12,Female,18,Right-Handed,157,22,155,1,Car,15,0.437,46,None,508,310,775,,385,406,22,Same length,9,9.5,Ring finger,December,Summer,No,No,Meat,Tea,English,6,8,4,Yes - broadband connection,Text messaging,143,158,18,11,10,2,0,0,14,19,17,9,28,1,Some,Graduate degree,Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,IL,2015,12,Male,17,Right-Handed,166,26,169,1,Bicycle,2,0.256,39,Dancing,850,650,900,700,600,500,27,Left foot,68,71,Ring finger,November,Summer,No,No,Pizza/Pasta,Water,Music,8,10,5,Yes - other,Text messaging,150,150,10,0.5,10,1,20,6,2,10,10,2,0,3,Some,Graduate degree,Other,Telepathy,Famous,Musician or singer,"Arts, culture, sports"
USA,AZ,2015,12,Male,17,Right-Handed,178,27,182.8,1,Car,17,0.498,37,Soccer,800,900,1000,1000,400,750,27,Same length,75,73,Index finger,May,Winter,Yes,No,Meat,Soft drink (caffeinated),History,5,7,5,Yes - broadband connection,Text messaging,200,200,25,3,7,30,10,5,3,15,10,30,0,12,A lot,Graduate degree,Pop,Freeze time,Happy,Relative,Health
USA,KY,2019,7,Female,12,Right-Handed,,22,145,2,Car,25,0.687,37,Dancing,566,1000,128,134,1000,1000,22,Same length,,70,Index finger,July,Summer,Yes,No,Desserts,Coffee,Physical education,6,5,5,Yes - other,Internet chat or instant messaging,5,3,7,2,1,2,0,0,4,0,4,2,0,0,A lot,Graduate degree,Pop,Invisibility,Healthy,Other,Education/Youth development
USA,IL,2022,12,Female,17,Right-Handed,153,20,152,1,Car,15,0.339,35,Cycling,1000,900,850,900,1000,1000,20,Same length,68,68,Same length,July,Fall,No,Yes,Rice/Noodle dishes,Water,Mathematics and statistics,7,10,5,Yes - broadband connection,In person,8,8,2,0,13,5,7,2,14,8,56,3,0,4,Some,Graduate degree,Rap/Hip hop,Super strength,Happy,Relative,Environment
USA,CT,2015,6,Female,11,Right-Handed,163,23,165,2,Bus,30,0.342,42,Dancing,1000,1000,1000,1000,1000,1000,23,Same length,80,70,Index finger,September,Fall,Yes,No,Desserts,Water,Mathematics and statistics,10,6,9,Yes - other,Internet chat or instant messaging,3,4,20,1,12,10,12,5,20,15,15,2,6,25,A lot,Other,Rap/Hip hop,Telepathy,Healthy,Doctor or nurse,"Wildlife, animals"
USA,MS,2022,12,Female,17,Right-Handed,5'6,24,164,1,Car,12,0.373,49,None,1000,786,500,960,65,235,24,Same length,91,98,Ring finger,June,Fall,Yes,No,Pizza/Pasta,Water,Art,,6,4,Yes - other,Text messaging,41,56,5,6,0,1,4,1,6,7,11,3,28,1,Some,Undergraduate degree,Other,Invisibility,Healthy,Friend,"Wildlife, animals"
USA,MA,2021,12,Female,63,Right-Handed,165.1,15,158,1,Car,20,0.48,42,Walking/Hiking,1000,1000,750,400,1000,1000,15.5,Left foot,7,7.5,Ring finger,June,Fall,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,12,2,Yes - other,Text messaging,5,30,1,0,0,28,4,7,7,1,60,7,35,14,A lot,Graduate degree,Rock and roll,Telepathy,Happy,Teacher,Environment
USA,CA,2015,12,Female,17,Right-Handed,320,37.5,60,2,Car,45,15,12,Other,700,700,700,700,1000,1000,37.5,Right foot,70,80,Ring finger,January,Winter,No,No,Seafood,Juice,Art,7,9,6,Yes - other,Text messaging,150,200,10,1,5,5,5,6,7,4,5,0,10,2,A lot,Graduate degree,Rhythm and blues (R&B),Invisibility,Rich,Other,International aid
