Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2016,5,Female,10,Right-Handed,129.5,20,123,2,Bus,5,53,64,Swimming,10000,10000,1000,100,90,90,20,Same length,4,4,Same length,June,Summer,No,No,Other,Water,Social studies,10,17,6,Yes - other,Internet chat or instant messaging,1,17,2,7,8,,,,,,,,,,,,,,,,
USA,WI,2019,12,Male,18,Right-Handed,183,27.7,187,1,Car,9,0.347,44,Basketball,802,658,481,717,230,561,27.5,Right foot,87,90,Ring finger,May,Summer,No,No,Fruit,Water,Science,6,8,4,Yes - broadband connection,Internet chat or instant messaging,4,8,10,2,2,15,15,2,5,1,10,8,1,2,None,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,Health
USA,WI,2017,8,Male,15,Right-Handed,176,28,147,2,Bus,15,,,Football (American),500,500,800,400,1000,1000,26,Same length,36,28,Index finger,November,Summer,No,No,Pizza/Pasta,Water,Physical education,5,3,3,Yes - broadband connection,In person,150,175,6,4,1,8,2,0,3,5,2,3,0,0,A lot,Some college,Rap/Hip hop,Super strength,Famous,Sports person,Health
USA,MI,2015,12,Female,16,Right-Handed,152,24,152,3,Bus,10,0.352,35,Swimming,1000,1000,1000,1000,1000,1000,23,Right foot,70,60,Index finger,April,Summer,No,No,Seafood,Water,Music,7,10,5,Yes - broadband connection,Text messaging,10,15,7,2,20,26,2,0,5,3,20,0,0,4,A lot,Graduate degree,Pop,Freeze time,Healthy,Business person,International aid
USA,SC,2012,11,Female,17,Left-Handed,13.3,17.4,416.2,1,Car,5,0.777,50,Swimming,500,500,500,,500,500,13.6,Left foot,3.5,4.5,Ring finger,May,Summer,No,No,Seafood,Energy drink,English,7,12,3,Yes - broadband connection,Text messaging,432,440,10,12,10,7,2,1,0,24,2,4,5,1,Very little,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Health
USA,GU,2014,8,Male,12,Right-Handed,150,25,,1,Bus,10,0.334,46,Basketball,400,400,400,500,500,500,25,Same length,74,68,Index finger,July,Summer,Yes,No,Rice/Noodle dishes,Water,Physical education,7,5,4,Yes - broadband connection,Text messaging,10,12,3,2,5,10,5,1,1,2,10,5,0,8,Some,Some college,Rap/Hip hop,Fly,Happy,Sports person,Health
USA,CA,2016,12,Male,17,Right-Handed,180,29,186,1,Car,10,0.381,,Skateboarding/Rollerblading,800,500,800,800,500,900,30,Right foot,9,9,Same length,July,Winter,No,Yes,Soups,Coffee,Music,2,2,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",300,400,40,5,10,0,0,0,70,100,50,5,0,15,A lot,High school,Other,Freeze time,Famous,Musician or singer,"Wildlife, animals"
USA,MD,2014,11,Female,18,Ambidextrous,173,203,165,6,Bus,30,0.366,46,Skateboarding/Rollerblading,1000,1000,1000,1000,900,900,65,Right foot,80,76,Index finger,November,Winter,No,No,Pizza/Pasta,Soft drink (caffeinated),Other,6,12,7,Yes - other,Text messaging,95,96,60,6,35,24,10,18,30,75,15,5,25,20,A lot,High school,Techno/Electronic,Invisibility,Happy,Other,"Wildlife, animals"
USA,MO,2016,11,Female,17,Right-Handed,157,23,153,2,Car,5,0.307,34,Soccer,513,818,727,824,43,43,23,Same length,7,6.5,Ring finger,September,Fall,No,No,Fruit,Water,Other,6,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",15,13,14,1,58,5,3,1,90,90,120,5,0,1,A lot,Graduate degree,Other,Invisibility,Rich,Relative,Health
USA,CA,2014,12,Female,17,Ambidextrous,177.8,27,,1,Car,10,1.026,44,Other,500,800,400,200,900,900,25,Right foot,73,72,Ring finger,June,Summer,No,No,Pizza/Pasta,Water,English,7,10,3,Yes - broadband connection,Text messaging,200,200,8,1,10,4,20,0,4,3,6,2,25,3,A lot,Graduate degree,Country,Telepathy,Happy,Actor,International aid
USA,FL,2013,12,Male,17,Right-Handed,183,26,177,2,Car,15,0.38,52,Athletics,670,700,800,540,600,900,27,Left foot,8.5,8,Index finger,February,Spring,Yes,No,Meat,Water,Mathematics and statistics,7,9,4,Yes - other,Text messaging,30,30,50,1,17,10,12,5,17,20,15,10,0,10,A lot,Graduate degree,Techno/Electronic,Freeze time,Happy,Coach or club leader,"Arts, culture, sports"
USA,WI,2016,7,Female,13,Right-Handed,,,,1,Bus,35,0.603,40,Swimming,9,5,9,5,10,10000,24,Same length,9,6.5,,April,Spring,No,No,Other,Soft drink (caffeinated),Music,7,10,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,100,8,100,1,1,1,1,10,10000,100,10,0,1,None,Graduate degree,Pop,Telepathy,Rich,Other,Health
USA,MD,2024,12,Female,18,Right-Handed,170,24,170,1,Car,16,0.333,33,Other,487,781,813,807,305,519,25,Left foot,70,70,Same length,September,Fall,Yes,No,Fruit,Water,Social studies,7,9,5,Yes - other,Text messaging,29,18,5,0.5,5,30,3,4,2,1,3,2,12,2,A lot,Undergraduate degree,Punk rock,Telepathy,Healthy,Relative,Education/Youth development
USA,WI,2016,7,Male,13,Right-Handed,146,23,159,2,Boat,10,0.402,63,Basketball,1000,1000,1000,1000,1000,1000,23,Same length,7,8,Same length,April,Winter,No,No,Meat,Juice,Mathematics and statistics,7,10,4,Yes - broadband connection,Text messaging,100,150,106,1,3,72,24,48,0,14,168,1,0,12,Some,Some college,Rhythm and blues (R&B),Invisibility,Healthy,Religious figure,Health
USA,PA,2010,6,Male,12,Right-Handed,158,26,158,1,Skateboard/Scooter/Rollerblade,3,0.328,0.48,Skateboarding/Rollerblading,1000,1000,1000,,579,754,26,Same length,30,30,Same length,September,Summer,Yes,No,Fruit,Water,Physical education,8,8,5,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",0,3,10,11,12,20,24,16,10,0.5,16,10,0,11,Very little,Some college,Rap/Hip hop,,Famous,Other,Environment
USA,NC,2020,12,Female,17,Left-Handed,170,22,58,1,Car,20,0.387,36,Baseball/Softball,1000,500,1000,1000,1000,1000,19,Right foot,152,127,Index finger,May,Fall,Yes,No,Pizza/Pasta,Water,Music,7,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",25,28,5,1,3,4,10,0,20,1,20,10,0,2,Some,Graduate degree,Pop,Telepathy,Happy,Relative,Education/Youth development
USA,WI,2018,11,Female,16,Right-Handed,172.7,26,166,1,Car,7,0.315,40,Baseball/Softball,900,1000,900,900,600,700,27,Same length,,80,Ring finger,April,Summer,Yes,No,Pizza/Pasta,Water,History,9,8,5,Yes - broadband connection,Internet chat or instant messaging,20,25,,1,3,40,50,1,7,6,5,2,14,3,Very little,Some college,Country,Invisibility,Happy,Relative,Health
USA,WI,2013,8,Male,14,Ambidextrous,178,28,162,1,Car,12,0.2,35,Football (American),1000,234,1000,567,14,306,29,Left foot,95,85,Index finger,July,Summer,No,No,Breads/Sandwiches,Water,Science,9,9,5,Yes - other,In person,10,15,20,0,1,3,60,4,0,2,3,1,20,10,Very little,Graduate degree,Techno/Electronic,Freeze time,Happy,Relative,Environment
USA,IN,2019,11,Male,16,Left-Handed,192,27.2,183,1,Car,Oof,0.832,50,Cycling,775,775,775,508,1000,1000,27.2,Same length,7,7,Same length,September,Winter,No,No,No favorite,Soft drink (caffeinated),Other,10,yes,5,Yes - other,In person,yes,Idk,1,yes,0,4,1-2,yes,9,1,yes,yes,0,1,A lot,Undergraduate degree,Other,Fly,Happy,Other,Environment
USA,NC,2013,6,Male,12,Right-Handed,144,22,141,1,Car,4,0.335,52,Soccer,500,750,750,500,500,750,22,Left foot,57,62,Ring finger,November,Fall,Yes,No,Pizza/Pasta,Milk,Physical education,9,11,4,Yes - broadband connection,In person,0,0,5,0.5,20,15,6,1,0.5,0.5,1,1,0,5,A lot,Graduate degree,Rock and roll,Invisibility,Happy,Relative,Religious
USA,NY,2024,12,Male,18,Right-Handed,177cm,29cm,189cm,1,Car,20,0.566,49,Athletics,1000,1000,1000,1000,500,1000,24,Same length,8cm,7cm,Index finger,May,Summer,No,No,Meat,Milk,Physical education,6-8,10-12,3,Yes - broadband connection,Text messaging,20,5,2,5,5,3,6,6,0,1,7,3,0,1,A lot,Some college,Rap/Hip hop,Super strength,Rich,Relative,Health
USA,AL,2023,12,Female,18,Right-Handed,149,21,142,2,Car,15,4,57,Soccer,1000,1000,1000,1000,0,1000,20,Right foot,63,71,Ring finger,December,Fall,Yes,No,Meat,Soft drink (caffeinated),Science,6,9,6,Yes - other,Text messaging,120,120,2,4,0,2,2,0,8,8,10,1,0,3,Some,Some college,Heavy metal,Telepathy,Rich,Other,Religious
USA,GA,2024,12,Male,16,Right-Handed,182,29,190,1,Car,20,0.332,51,Table Tennis,,,,,,,31,Left foot,100,85,Index finger,July,Winter,No,No,Meat,Water,Languages,6,7,4,Yes - broadband connection,In person,0,2,5,0,10,7,6,49,0,0,2,10,0,0,Some,High school,Other,Freeze time,Rich,Friend,International aid
USA,TN,2024,12,Female,17,Right-Handed,170,26,174,4,Car,20,0.299,46,Tennis,894,659,901,953,923,989,27,Left foot,98,89,Index finger,June,Fall,No,No,Pizza/Pasta,Water,Science,6,8,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",50,100,11,3,18,12,10,0,9,2,28,0,0,4,A lot,Graduate degree,Pop,Fly,Happy,Relative,Health
USA,CA,2017,12,Male,17,Right-Handed,175,25,175,2,Car,10,0.663,39,Soccer,100,500,400,600,800,950,25,Same length,,76,Same length,July,Summer,No,No,Pizza/Pasta,Juice,Physical education,9,9.5,5,Yes - other,Text messaging,20,20,8,0.5,5,10,3,6,1,3,1,6,0,3,Some,Graduate degree,Pop,Fly,Happy,Sports person,"Wildlife, animals"
USA,PA,2016,11,Male,16,Left-Handed,178,27,177,2,Bus,25,0.288,33,Tennis,800,800,800,800,800,800,27,Same length,172,177,Ring finger,November,Winter,Yes,No,Rice/Noodle dishes,Water,Art,8,10,3,Yes - broadband connection,In person,0,0,1,0,1,1,1,4,0,0,4,0,0,1,Some,Graduate degree,Classical,Freeze time,Happy,Friend,Environment
USA,IA,2017,12,Male,17,Ambidextrous,74,28.5,196,1,Car,6,0.313,26,Baseball/Softball,400,800,450,150,1000,1000,28,Right foot,0.85,0.9,Ring finger,April,Summer,No,No,Meat,Water,Science,8,10,3,Yes - broadband connection,Text messaging,86,89,20,1,4,10,25,3,8,10,4,5,0,4,Some,Graduate degree,Rap/Hip hop,Super strength,Happy,Sports person,Health
USA,NC,2023,11,Male,18,Right-Handed,5 11,180,150,2,Car,15,0.317,47,Soccer,700,800,600,300,800,900,175,Left foot,17,18.5,Ring finger,September,Winter,No,No,Meat,Water,Other,7,7-8,5,Yes - broadband connection,Cell phone,2,2,10,2,2,30,5,4,5,6,6,4,0,10,Very little,Graduate degree,Other,Invisibility,Happy,Other,Health
USA,CA,2019,12,Male,17,Left-Handed,176,28,179,1,Car,25,0.758,51,Dancing,950,850,900,900,1000,1000,28,Same length,8,7,Index finger,September,Fall,Yes,No,No favorite,Water,English,7,9,3,Yes - broadband connection,In person,15,75,22,0.5,5,6,8,0.5,7,3,14,0,5,0.7,Very little,Undergraduate degree,Rap/Hip hop,Freeze time,Happy,Musician or singer,Other
USA,IN,2017,8,Male,14,Right-Handed,174,26.04,175.8,2,Car,20,0.472,36,Soccer,759,696,591,421,800,821,26.22,Left foot,10.16,10.8,Ring finger,January,Summer,Yes,Yes,Seafood,Juice,Mathematics and statistics,7,6,3,Yes - broadband connection,Text messaging,70,60,6,15,6,3,7,5,1,1,5,1,0,2,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Other,Health
USA,CA,2024,12,Female,16,Right-Handed,152,23,142,1,Car,7,0.319,44,Other,0,800,800,1000,1000,700,22.5,Right foot,59,62,Ring finger,December,Fall,No,No,Desserts,Water,Music,8,8,7,Yes - other,In person,50,50,6,5,6,4,7,2,2,2,3,2,20,5,A lot,Graduate degree,Pop,Freeze time,Famous,Musician or singer,Health
USA,IN,2021,12,Male,17,Right-Handed,182,29,200,2,Car,10,0.336,46,Baseball/Softball,332,313,43,529,139,845,29,Same length,88,95,Ring finger,May,Fall,No,No,Poultry,Water,History,7,8,4,Yes - broadband connection,Text messaging,15,20,20,5,5,10,40,2,5,3,10,10,0,7,Some,Graduate degree,Rap/Hip hop,Fly,Famous,Sports person,"Arts, culture, sports"
USA,CA,2018,12,Female,17,Right-Handed,159,22,162,2,Car,15,0.469,39,Other,610,460,701,460,1000,1000,22,Same length,70,70,Same length,January,Winter,No,No,Pizza/Pasta,Coffee,Social studies,4,8,3,Yes - broadband connection,In person,10,15,10,3,25,20,1,1,7,2,30,2,8,0,A lot,Undergraduate degree,Other,Telepathy,Happy,Coach or club leader,"Arts, culture, sports"
USA,OH,2017,12,Male,18,Right-Handed,182,24,182,3,Skateboard/Scooter/Rollerblade,15,0.399,63,Basketball,417,535,471,326,230,620,24,Same length,13,13,Same length,December,Summer,No,No,Meat,Energy drink,Physical education,7,10,7,Yes - broadband connection,Text messaging,1000,1300,12,12,12,12,12,12,12,12,12,12,12,12,None,Some college,Rap/Hip hop,Super strength,Rich,Sports person,Health
USA,NJ,2024,12,Female,17,Right-Handed,164,23,163,2,Walk,4,0.38,56,Dancing,914,920,914,909,508,805,23,Right foot,70,70,Same length,December,Fall,Yes,No,Pizza/Pasta,Milk,English,6,8,5,Yes - broadband connection,Text messaging,100,100,15,2,2,15,1,0,10,10,3,2,20,5,Some,Graduate degree,Pop,Fly,Rich,Musician or singer,Environment
USA,IL,2014,8,Female,14,Right-Handed,152,23,156,2,Walk,2,0.867,50,Soccer,900,300,100,0,500,1000,21,Right foot,70,65,Ring finger,September,Summer,No,No,Pizza/Pasta,Juice,Physical education,7,10,7,Yes - other,Text messaging,50,55,60,2,10,70,3,20,100,100,168,50,40,60,A lot,Graduate degree,Other,Freeze time,Happy,Relative,"Wildlife, animals"
USA,OH,2023,8,Female,14,Left-Handed,156,22,155,1,Car,15,0.279,45,Swimming,700,700,900,600,850,900,22,Same length,80,55,Index finger,September,Summer,No,No,Fruit,Water,Science,7.5,10,6,Yes - broadband connection,Text messaging,29,35,15,3,18,25,7,2,3,0,22,5,0,7,A lot,Graduate degree,Pop,Freeze time,Healthy,Religious figure,Health
USA,IN,2021,10,Male,15,Right-Handed,180,27,173,1,Car,19,0.334,47,Golf,760,700,640,720,380,290,27,Same length,188,192,Ring finger,,Summer,Yes,No,Meat,Water,Mathematics and statistics,7,9,6,Yes - other,Text messaging,18,32,4,2,8,12,10,4,2,2,8,4,6,4,Some,Other,Rap/Hip hop,Freeze time,Happy,Relative,"Arts, culture, sports"
USA,IA,2019,12,Female,17,Left-Handed,5'5,,,2,Car,10,0.38,60,Dancing,100,100,100,100,5,50,,Same length,7,7,Same length,August,Summer,No,No,Seafood,Water,Social studies,10,10,2,Yes - other,Internet chat or instant messaging,15,14,,2,3,5,0,10,20,,,0,0,13,Some,Undergraduate degree,Other,Telepathy,Happy,Other,Education/Youth development
USA,GA,2015,11,Male,16,Right-Handed,68,25,73,1,Car,20,0.699,53,Baseball/Softball,0,0,0,0,0,0,23,Right foot,6,6,Same length,January,Summer,No,No,Meat,Tea,History,6,4,4,Yes - broadband connection,Text messaging,500,500,8,2,1,3,2,0,8,8,0,3,4,1,A lot,Some college,Rap/Hip hop,Invisibility,Happy,Relative,International aid
USA,IN,2012,12,Male,18,Right-Handed,196,33,177,1,Car,10,0.259,36,Swimming,250,250,600,,800,900,33,Same length,80,100,Ring finger,October,Fall,No,No,No favorite,Milk,Physical education,8,8,5,Yes - broadband connection,Text messaging,75,75,70,1,1,1,21,1,1,1,2,3,3,1,Very little,Graduate degree,Rap/Hip hop,Telepathy,Famous,Sports person,Health
USA,MI,2017,12,Male,18,Right-Handed,120,23,120,1,Car,10,,,Running/Jogging,1000,1000,1000,1000,0,0,23,Same length,76,85,Ring finger,August,Spring,No,Yes,Fruit,Coffee,History,8,10,5,Yes - broadband connection,Text messaging,25,25,20,,0,,,,,,,,,,Very little,Graduate degree,,Super strength,Happy,Teacher,Environment
USA,PA,2021,12,Female,18,Right-Handed,175.3,24.6,175.3,1,Car,7,0.43,46,Basketball,1000,1000,1000,1000,1000,1000,24.6,Same length,80,80,Ring finger,June,Summer,Yes,No,Pizza/Pasta,Water,Art,7,9,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",6,2,4,1,3,6,1,0,5,1,5,4,0,2,Some,Less than high school,Rock and roll,Fly,Famous,Actor,International aid
USA,MD,2021,12,Female,17,Right-Handed,156,22,137,2,Bus,15,0.291,54,Running/Jogging,1000,1000,797,689,647,882,22,Same length,3,2.5,Index finger,April,Winter,Yes,No,Pizza/Pasta,Water,Science,6,8,4,Yes - other,Text messaging,30,500,2,4,15,20,15,0,9,6,30,5,0,3,A lot,Graduate degree,Pop,Freeze time,Happy,Musician or singer,"Arts, culture, sports"
USA,NC,2024,12,Male,18,Right-Handed,6,27.94,91.44,1,Bus,20,318,,Baseball/Softball,1000,444,555,1000,0,1000,27.94,Same length,0.1016,0.1016,Index finger,August,Summer,No,No,Meat,Water,Physical education,12,12,5,Yes - other,In person,40,30,2,8,4,5,6,7,10,11,2,3,4,1,Some,High school,Rap/Hip hop,Super strength,Rich,Actor,Religious
USA,SC,2012,11,Male,17,Right-Handed,190.5,29.5,187.5,2,Car,3,0.273,38,Other,500,750,500,,1000,900,29.5,Same length,45,45,Same length,October,Fall,No,No,Meat,Water,Languages,5,13,2,Yes - broadband connection,Text messaging,30,30,40,1,1,4,19,0,2,1,4,1,35,5,Some,Graduate degree,Reggae,Super strength,Healthy,Sports person,"Arts, culture, sports"
USA,CA,2024,12,Female,17,Right-Handed,163,25,164,1,Car,8,0.397,30,None,580,580,540,650,750,750,23.5,Right foot,80,62,,April,Spring,Yes,No,Rice/Noodle dishes,Water,Social studies,8,9.5,4,Yes - broadband connection,Text messaging,100,150,3,3,6,1,0,1,10,3,;,,,,,,,,,,
USA,TX,2019,12,Female,17,Right-Handed,154,23,63,2,Car,6,0.654,48,Walking/Hiking,524,658,1000,813,75,337,23,Same length,72,80,Ring finger,August,Fall,No,No,Fruit,Juice,Computers and technology,6,9,5,Yes - broadband connection,In person,1,5,25,0,0,5,1,0,6,2,2,2,0,0,Some,Graduate degree,Rap/Hip hop,Invisibility,Healthy,Business person,Education/Youth development
USA,CA,2024,12,Female,17,Right-Handed,156,20,151,2,Car,10,0.379,40,None,626,578,733,658,786,866,21,Left foot,158,161,Ring finger,April,Fall,No,No,Rice/Noodle dishes,Water,English,6,8,4,Yes - broadband connection,Text messaging,5,20,8,1,5,3,2,9,48,11,60,1,0,2,Some,Graduate degree,Rhythm and blues (R&B),Fly,Rich,Musician or singer,Health
USA,NC,2024,11,Male,16,Right-Handed,175,27,184,2,Car,18,0.477,64,Martial Arts,100,200,900,300,1000,1000,26,Right foot,85,83,Index finger,January,Summer,No,No,Meat,Water,Mathematics and statistics,8,8.5,4,Yes - broadband connection,Text messaging,9,128,4,1,8,4,6,0,1,4,15,2,2,4,Very little,Undergraduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Religious
USA,IN,2015,10,Male,14,Ambidextrous,175,29,185,2,Car,13,0.622,39,Swimming,750,750,500,400,900,900,29,Right foot,110,121,Ring finger,February,Fall,Yes,No,No favorite,Water,Mathematics and statistics,7.5,8.5,3,Yes - other,Text messaging,5,5,2,1,7,6,10,3,2,1,4,8,0,2,Some,Graduate degree,Pop,Telepathy,Happy,Sports person,Health
USA,SC,2024,11,Female,17,Right-Handed,5´3,7,6,1,Bus,60,0.372,49,Dancing,412,674,690,658,134,326,7,Same length,2,1,Index finger,December,Summer,No,No,Pizza/Pasta,Tea,Social studies,10,7,5,Yes - broadband connection,Text messaging,3,4,2,6,3,5,1,1,9,1,2,1,4,0,Some,Less than high school,Rap/Hip hop,Invisibility,Healthy,Relative,Health
USA,CA,2016,10,Male,15,Ambidextrous,172.5,26.7,172.5,2,Car,12,0.231,38,Basketball,200,200,200,250,800,800,26.7,Same length,88.9,88.9,Same length,September,Spring,No,No,Seafood,Water,Computers and technology,8,12,4,Yes - broadband connection,Internet chat or instant messaging,7,7,6,1,3,2,5,2,2,1,9,1,2,2,A lot,Some college,Rap/Hip hop,Fly,Happy,Business person,Education/Youth development
USA,NC,2022,12,Male,17,Right-Handed,182.8,30.5,176,1,Car,10,3,44,Lacrosse,866,658,567,508,1000,1000,30.5,Right foot,90,85,Ring finger,June,Summer,Yes,No,Breads/Sandwiches,Water,Social studies,4,6,3,Yes - broadband connection,Text messaging,20,25,25,10,10,7,15,0,5,10,40,5,3,2,A lot,Graduate degree,Rhythm and blues (R&B),Invisibility,Happy,Friend,International aid
USA,WA,2020,12,Female,17,Right-Handed,"5'3""",20,66,2,Car,10,0.656,49,Skateboarding/Rollerblading,722,781,524,706,225,246,24.14,Left foot,76.2,63.5,Index finger,April,Fall,Yes,No,Seafood,Water,Science,5-8,3,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",n/a,n/a,12,4,5,24/7,5,3,12,12,6,4,n/a,n/a,A lot,Graduate degree,Rhythm and blues (R&B),Freeze time,Happy,Friend,International aid
USA,NY,2014,12,Male,18,Right-Handed,178,26,179,2,Walk,5,0.339,43,Swimming,600,700,600,700,1000,1000,25,Right foot,80,73,Ring finger,April,Fall,No,No,Meat,Water,Social studies,7,9,3,Yes - other,Internet chat or instant messaging,0,0,25,2,15,6,8,2,3,24,14,5,0,0,Some,Undergraduate degree,Rhythm and blues (R&B),Fly,Rich,Other,Health
USA,VT,2015,11,Female,17,Right-Handed,164,21,161,1,Car,14,0.732,40,Hockey (Field),500,500,500,600,600,600,21,Same length,89,93,Index finger,March,Fall,No,No,Meat,Water,Mathematics and statistics,8,9,7,Yes - broadband connection,Text messaging,50,70,4,3,10,4,10,3,6,3,1,11,20,3,Some,Undergraduate degree,Country,Invisibility,Happy,Relative,Health
USA,NC,2018,12,Female,18,Right-Handed,154.3,23,144,1,Walk,75,0.331,48,Walking/Hiking,3,4,1,2,5,6,24,Left foot,6,7,Index finger,April,Spring,No,No,Pizza/Pasta,Juice,Music,9,9,4,Yes - other,,127,130,9,3,8,0,0,0,5,6,4,5,0,0,A lot,Graduate degree,Rhythm and blues (R&B),Fly,Happy,Relative,International aid
USA,IN,2016,10,Female,15,Right-Handed,161,21,129,2,Bus,15,0.377,41,Athletics,800,600,800,700,1000,1000,21,Same length,70,70,Same length,August,Summer,No,No,Meat,Water,Languages,8,10,4,Yes - broadband connection,Text messaging,75,79,11,7,5,6,10,12,3,2,14,4,0,5,A lot,Graduate degree,Pop,Telepathy,Happy,Friend,International aid
USA,ID,2023,12,Female,23,Right-Handed,170,23,153,2,Walk,12,0.35,32,Martial Arts,800,750,700,750,650,650,22,Right foot,96,101,Ring finger,February,Winter,No,No,Pizza/Pasta,Water,Science,7,8.5,6,Yes - other,In person,28,63,14,2,40,0,0,1,1,2,2,10,5,6,Some,Graduate degree,Punk rock,Fly,Happy,Religious figure,Health
USA,WI,2023,12,Male,17,Right-Handed,181,27,184,1,Car,10,0.36,35,Golf,396,385,262,283,551,1000,27,Same length,75,80,Ring finger,July,Fall,No,No,Meat,Water,Computers and technology,6,4,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",4,8,40,1,3,2,20,10,40,1,20,1,0,0,Very little,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Relative,"Arts, culture, sports"
USA,CO,2023,12,Female,17,Right-Handed,179,24,173,2,Car,9,0.372,40,Other,861,706,1000,1000,203,203,26,Left foot,88,76,Index finger,April,Fall,Yes,Yes,Breads/Sandwiches,Coffee,Science,5,7,6,Yes - broadband connection,In person,50,200,70,10,10,5,9,3,2,10,3,4,16,1,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,Environment
USA,AK,2024,12,Female,18,Right-Handed,159,25,168,2,Car,10,0.335,38,Dancing,1000,1000,1000,900,428,495,25,Same length,80,75,,May,Summer,No,No,Meat,Water,Science,8,8,6,Yes - other,Cell phone,50,75,4,10,3,5,0,2,7,7,7,32,0,2,Very little,Graduate degree,Pop,Fly,Happy,Musician or singer,Health
USA,MN,2013,12,Male,18,Right-Handed,156,24,141,2,Car,5,0.406,58,Football (American),455,321,283,668,150,727,24,Same length,90,75,Index finger,November,Winter,No,No,Rice/Noodle dishes,Water,History,9,8,8,No internet connection,Text messaging,20,17,18,1,0,5,15,0,10,5,5,1,0,5,None,Some college,Gospel,Telepathy,Healthy,Religious figure,Religious
USA,CA,2024,12,Male,17,Right-Handed,175,22,170,2,Car,15,0.215,30,Other,300,300,400,400,700,999,22,Same length,70,67,Index finger,September,Winter,Yes,No,Meat,Water,Music,5,10,3,Yes - broadband connection,Text messaging,300,300,5,0.2,15,1,0,0,0,10,30,0,0,0.5,Some,Graduate degree,Pop,Telepathy,Rich,Musician or singer,Other
USA,GA,2011,12,Female,17,Right-Handed,153,22,157,1,Car,45,0.349,42,Bowling,364,754,824,,1000,1000,22,Same length,74,74,Same length,May,Fall,No,No,Pizza/Pasta,Tea,English,5,10,5,Yes - broadband connection,Text messaging,300,320,12,0,15,1,4,13,12,20,35,0,12,6,Very little,Graduate degree,Country,Invisibility,Healthy,Teacher,International aid
USA,NC,2022,7,Male,12,Right-Handed,,,,1,Bus,20,0.296,52,Baseball/Softball,1000,780,684,353,86,503,,,,,,May,Fall,Yes,Yes,Pizza/Pasta,Water,Art,7-8,9-10,5,Yes - broadband connection,In person,0,0,,,,,,,,,,,,,Some,Graduate degree,Jazz,Fly,Happy,Politician,"Wildlife, animals"
USA,TX,2021,12,Female,17,Right-Handed,158,22,156,1,Car,13,0.437,58,None,350,300,250,100,200,150,22,Same length,66,73,Ring finger,November,Summer,Yes,No,Poultry,Water,Science,7,9,4,Yes - broadband connection,Text messaging,4,3,2,0,5,4,0,0,1,1,1,5,0,2,A lot,Undergraduate degree,Pop,Freeze time,Happy,Relative,Health
USA,PA,2017,12,Male,17,Right-Handed,180.3,28.75,178.5,1,Car,5,0.512,47,None,503,508,267,310,348,738,28.75,Same length,8.4,8.5,Ring finger,January,Summer,No,No,Meat,Energy drink,Computers and technology,6,10,4,Yes - broadband connection,Text messaging,30,30,10,0.5,3,3,2,10,10,20,20,5,20,10,Some,Undergraduate degree,Heavy metal,Super strength,Happy,Business person,Health
USA,VA,2020,12,Female,18,Right-Handed,67,22.5,64,1,Car,15,0.521,36,Dancing,888,888,786,781,813,840,22.5,Same length,87,87,Same length,February,Spring,Yes,No,Fruit,Water,Music,6,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2,3,1,1,4,4,0,0,3,3,6,2,0,1,Some,Graduate degree,Other,Telepathy,Happy,Other,Education/Youth development
